date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230709,660260,500297,18349,0,1178906,1178906,0,1808.6912395431123,0.0,660260
20230710,662337,500895,18859,0,1182091,1182091,1188514,1808.358371562451,0.0,662337
20230712,661699,501497,19053,0,1182249,1182249,1186445,1808.3992921918543,0.0,661699
20230713,663173,502306,19057,0,1184536,1184536,1189491,1806.4883060789516,0.0,663173
20230717,664266,503031,19046,0,1186343,1186343,0,1814.3571864437279,0.0,664266
20230720,661529,499978,18338,0,1179845,1179845,0,1808.7476330323145,0.0,661529
20230721,672655,506202,19544,0,1198401,1198401,1221644,1826.1850946714028,0.0,672655
20230723,662458,499704,18546,0,1180708,1180708,1185226,1810.35797565012,0.0,662458
20230725,664602,501913,19113,0,1185628,1185628,1201725,1816.3567931439022,0.0,664602
20230726,664480,501803,18770,0,1185053,1185053,1199223,1812.3575806115084,0.0,664480
20230728,663016,501750,18788,0,1183554,1183554,1190750,1812.3984109461142,0.0,663016
20230729,659937,496772,17882,0,1174591,1174591,1180806,1804.359166019892,0.0,659937
20230805,661780,500185,18421,0,1180386,1180386,0,1808.3992921918543,0.0,661780
20230812,677236,510695,20603,0,1208534,1208534,1262945,1842.0532022718562,0.0,677236
20230814,656065,493288,17771,0,1167124,1167124,1173796,1798.444883781541,0.0,656065
20230816,665603,505936,19505,0,1191044,1206139,0,1814.3979717801715,0.0,665603
20230817,672845,501219,19122,0,1193186,1210552,0,1834.8547626447169,0.0,672845
20230819,670965,502192,19155,0,1192312,1214614,0,1826.8585057414818,0.0,670965
20230820,672773,502829,19441,0,1195043,1220431,1236165,1832.3536776506876,0.0,672773
20230824,662580,500238,18510,0,1181328,1181328,1195727,1806.4429135735234,0.0,662580
20230825,659516,496511,18151,0,1174178,1205021,1214229,1802.4893897052486,0.0,659516
20230827,714001,503313,20532,0,1237846,1257612,1268064,1998.9197082424296,0.0,714001
20230829,682016,498435,18199,0,1198650,1213370,1225181,1994.15345447636,0.0,682016
20230903,728875,502682,27882,0,1259439,1279585,1298900,2009.4427088125703,0.0,728875
20230904,725616,498050,26467,0,1250133,1268852,0,2013.3603750943346,0.0,725616
20230906,769962,550443,2056,0,1322461,1320405,1358890,2427.628472398526,0.0,769962
20230908,777155,550979,2120,0,1330254,1328134,1354823,2430.529983357539,0.0,777155
20230909,781645,551149,3464,0,1336258,1332794,0,2450.5811555629,0.0,781645
20230912,779623,574434,9111,0,1363168,1363168,0,2398.1125911849927,0.0,779623
20230914,804999,570731,7690,0,1383420,1383420,0,2435.8522122657605,0.0,804999
20230915,852753,585354,3160,0,1441267,1438107,1494414,2459.5422338313283,0.0,852753
20230925,929425,625079,1553,0,1556057,1554504,1603235,2488.790871085797,0.0,929425
20230926,966445,622835,2051,0,1591331,1589280,1624731,2537.092036170545,0.0,966445
20230927,975664,639542,2078,0,1617284,1615206,1678476,2521.434512336182,0.0,975664
20230929,682816,527522,22618,0,1232956,1232956,1313091,1832.213961304738,0.0,682816
20231008,1092536,532,440,0,1093508,1092536,1898543,2618.3735409601127,0.0,1092536
20231013,1098,822,778,0,2698,0,2051636,114.0175425099138,0.0,1098
20231017,1125021,1437,1034,0,1127492,1125021,0,2617.5056828973647,0.0,1125021
20231025,1124324,1161,611,0,1126096,1124324,0,2635.761749475851,0.0,1124324
20231027,1153951,1697,1424,0,1157072,1153951,0,2627.1505476466323,0.0,1153951
20231028,1133202,1240,872,0,1135314,1133202,1994506,2620.6075631425624,0.0,1133202
