date,i1,i2,i3,i4,itotal,largetotal,percent,length,width,circumference
20230701,99557,0,0,0,99557,99557,38.78418716240014,746.9752338598649,0.0,99557
20230702,99660,0,0,0,99660,99660,38.7914520615459,718.6932586298552,0.0,99660
20230704,119436,0,0,0,119436,119436,38.79261444540922,849.4562966980703,0.0,119436
20230705,825,0,0,0,825,0,35.745686684079175,41.182520563948,0.0,825
20230707,144460,0,0,0,144460,144460,37.78084647117695,917.3723344422373,0.0,144460
20230709,562,0,0,0,562,0,36.606228517693225,34.058772731852805,0.0,562
20230710,163340,0,0,0,163340,163340,37.18030084819151,949.3450373810357,0.0,163340
20230712,902,0,0,0,902,0,35.29229885819033,112.44554237496477,0.0,902
20230717,3241,0,0,0,3241,0,34.54930309275475,183.3248482884958,0.0,3241
20230719,5708,0,0,0,5708,0,35.37575801957687,244.37675830569486,0.0,5708
20230720,5999,0,0,0,5999,0,35.19814576526123,217.70622407271685,0.0,5999
20230721,5748,0,0,0,5748,0,35.17393912130754,204.215572373901,0.0,5748
20230722,195866,0,0,0,195866,195866,35.98167966793018,1091.1168590027376,0.0,195866
20230723,5267,0,0,0,5267,0,34.40481877854379,190.3785702225962,0.0,5267
20230724,5019,0,0,0,5019,0,35.050697372198805,195.73451407454945,0.0,5019
20230725,3740,0,0,0,3740,0,35.40583470204034,162.09873534361705,0.0,3740
20230726,218507,0,0,0,218507,218507,35.20604997553182,1072.2555665511836,0.0,218507
20230727,9690,0,0,0,9690,9690,34.31072380480785,300.5328601001894,0.0,9690
20230728,241058,0,0,0,241058,251549,34.37561388397782,1098.4279675973296,0.0,241058
20230729,19455,0,0,0,19455,19455,33.03744852092465,379.05672398732094,0.0,19455
20230730,22639,0,0,0,22639,22639,25.85853672144982,408.53396431630995,0.0,22639
20230731,15199,0,0,0,15199,15199,33.3925567911696,369.4157549428557,0.0,15199
20230801,13202,0,0,0,13202,13202,33.896595493902716,325.2076259868455,0.0,13202
20230802,3522,0,0,0,3522,0,33.13505970584714,131.5750736271882,0.0,3522
20230804,26250,0,0,0,26250,26250,32.749177322820735,459.3647787978525,0.0,26250
20230805,20988,0,0,0,20988,20988,33.24621266277733,431.2307966738925,0.0,20988
20230806,2880,0,0,0,2880,0,31.179697570966443,94.40338976964757,2.0,2880
20230807,20150,0,0,0,20150,20150,32.944457811858875,395.8181400592954,0.0,20150
20230810,14435,0,0,0,14435,14435,33.55110595012676,329.2779980502797,0.0,14435
20230815,6527,0,0,0,6527,6527,33.38738418297782,153.5838533179839,0.0,6527
20230816,12161,0,0,0,12161,12161,30.826420055306226,200.15993605114886,0.0,12161
20230820,23320,0,0,0,23320,23320,26.00331163162661,356.97618968216915,0.0,23320
20230821,4858,0,0,0,4858,0,33.16632783177051,161.50541786577935,0.0,4858
20230822,1600,0,0,0,1600,0,15.999865163471855,94.76286192385707,2.0,1600
20230823,4834,0,0,0,4834,0,30.03303494939562,116.61903789690601,0.0,4834
20230824,7064,0,0,0,7064,7064,30.631836996586078,224.89108474992955,0.0,7064
