date,i1,i2,i3,i4,itotal,largetotal,percent,length,width,circumference
20230701,993284,0,0,0,993284,1179991,23.31084995,1581.040164,0,993284
20230702,1032879,0,0,0,1032879,1235517,22.5352355,1725.545711,0,1032879
20230703,1005453,0,0,0,1005453,1207489,23.11656484,1740.790625,0,1005453
20230704,1019553,0,0,0,1019553,1239105,21.94667477,1749.441054,0,1019553
20230707,2775,0,0,0,2775,0,6.617707092,85.0411665,0,2775
20230708,1251391,0,0,0,1251391,1251391,22.67178617,2474.032336,0,1251391
20230710,1325735,0,0,0,1325735,1325735,21.90913767,2567.068367,0,1325735
20230711,1314286,0,0,0,1314286,1314286,22.02117551,2557.289972,0,1314286
20230712,1413961,0,0,0,1413961,1413961,20.95245677,2572.353008,0,1413961
20230714,1295342,0,0,0,1295342,1295342,19.24102939,2709.492941,0,1295342
20230715,1039249,0,0,0,1039249,1064686,23.5104128,1656.543389,0,1039249
20230717,1391682,0,0,0,1391682,1391682,21.3044424,2665.018574,0,1391682
20230719,1439490,0,0,0,1439490,1450441,20.64325681,2666.747082,0,1439490
20230720,1573319,0,0,0,1573319,1583061,19.20470724,2702.538066,0,1573319
20230724,1439460,0,0,0,1439460,1467542,20.52451245,2677.456255,0,1439460
20230725,1424660,0,0,0,1424660,1463761,20.6385914,2634.804737,0,1424660
20230726,1512175,0,0,0,1512175,1552701,18.73540602,2719.424204,0,1512175
20230727,1469441,0,0,0,1469441,1514255,20.16751149,2697.697537,0,1469441
20230728,1478187,0,0,0,1478187,1528855,19.96305968,2722.593616,0,1478187
20230729,1670121,0,0,0,1670121,1697964,18.09109366,2791.034933,0,1670121
20230730,1562897,0,0,0,1562897,1624068,18.68464054,2742.226832,0,1562897
20230731,1547448,0,0,0,1547448,1614604,18.74462992,2748.952528,0,1547448
20230801,1491462,0,0,0,1491462,1549454,19.66816698,2720.386002,0,1491462
20230802,1472873,0,0,0,1472873,1531513,19.85142034,2722.202785,0,1472873
20230803,1276217,0,0,0,1276217,1324694,21.76963223,2855.874647,0,1276217
20230804,544,0,0,0,544,0,1.04962945,36.05551275,0,544
20230806,1505201,0,0,0,1505201,1583094,19.48341681,2733.298374,0,1505201
20230807,838,0,0,0,838,0,8.075705585,41.18252056,0,838
20230809,1510438,0,0,0,1510438,1568516,19.42518667,2741.654975,0,1510438
20230810,1664185,0,0,0,1664185,1705080,18.12174928,2789.349028,0,1664185
20230812,1686836,0,0,0,1686836,1752211,16.39537316,3954.408679,152.9705854,1686836
20230814,35114,0,0,0,35114,65337,12.425023,356.0056179,0,35114
20230817,661,0,0,0,661,0,8.844652392,43.08131846,0,661
20230820,1733178,0,0,0,1733178,1733178,16.84579892,3987.426739,162.788206,1733178
20230822,1734422,0,0,0,1734422,1785150,17.22958709,4014.32485,0,1734422
20230823,1607462,0,0,0,1607462,1615399,15.62388954,3979.633149,135.0851583,1607462
20230825,1686061,0,0,0,1686061,1686061,16.38784047,3942.894876,231.4908206,1686061
20230828,1592826,0,0,0,1592826,1599421,15.48163345,3972.861941,146.4923206,1592826
20230829,1677574,0,0,0,1677574,1677574,16.30535021,4012.525389,180.4993075,1677574
20230904,1512264,0,0,0,1512264,1529523,14.69860294,4051.023081,113.137085,1512264
20230908,1576981,0,0,0,1576981,1576981,15.32762637,4074.484998,135.4400236,1576981
20230909,2110,0,0,0,2110,0,13.57980881,154.3113735,0,2110
20230911,382,0,0,0,382,0,9.31504221,36.05551275,0,382
20230914,14074,0,0,0,14074,14074,15.19194074,474.2488798,0,14074
20230915,22697,0,0,0,22697,22697,14.55178837,563.7942887,0,22697
20230916,4315,0,0,0,4315,0,13.65820711,162.9355701,0,4315
20230917,3205,0,0,0,3205,0,4.230816034,92.19544457,0,3205
20230919,769,0,0,0,769,0,13.55613186,39.59797975,0,769
20230922,7354,0,0,0,7354,7354,14.85951094,202.0396001,0,7354
20230923,18442,0,0,0,18442,18442,14.56043881,534.4529914,0,18442
20230925,4048,0,0,0,4048,0,13.72357143,242.4953608,0,4048
20230926,441,0,0,0,441,0,9.831279387,35.77708764,0,441
20230928,1726,0,0,0,1726,0,13.41233036,103.7304198,0,1726
20230930,1031,0,0,0,1031,0,6.871466439,60.95900262,0,1031
20231004,4121,0,0,0,4121,0,13.766396,164.4384383,0,4121
20231005,3003,0,0,0,3003,0,12.52461003,97.50897395,0,3003
20231006,2333,0,0,0,2333,0,5.735857397,92.97311439,0,2333
20231007,5091,0,0,0,5091,0,13.52191887,249.158584,2,5091
20231009,1882,0,0,0,1882,0,12.0583316,117.3882447,0,1882
20231010,279,0,0,0,279,0,1.532547834,35.60898763,2,279
20231011,1279,0,0,0,1279,0,11.58201283,67.91170739,0,1279
20231013,4285,0,0,0,4285,0,10.03809306,138.5207566,0,4285
20231016,1482,0,0,0,1482,0,3.640991757,69.3108938,0,1482
,na,na,na,na,na,na,na,na,na,20231017
20231021,583,0,0,0,583,0,12.1261647,39.39543121,0,583
20231022,2305,0,0,0,2305,0,1.376344124,128.996124,0,2305
20231023,4438,0,0,0,4438,0,3.900680061,199.4492417,2,4438
20231029,889,0,0,0,889,0,10.12650255,53.85164807,0,889
