date,i1,i2,i3,i4,itotal,largetotal,percent,length,width,circumference
20230701,505265,408594,0,0,913859,946461,19.26259439729722,1560.0256408149194,0.0,505265
20230702,512310,473893,0,0,986203,1011527,18.343733698004346,1612.4031753875952,0.0,512310
20230703,513635,477959,0,0,991594,1019039,18.288317197957447,1622.7593783429509,0.0,513635
20230704,515526,477918,0,0,993444,1021826,18.285939266478078,1631.404303046918,0.0,515526
20230705,512631,474069,0,0,986700,1015998,18.57332339374431,1648.914794645254,0.0,512631
20230706,524664,480661,0,0,1005325,1005325,18.449243093713537,1685.9952550348414,0.0,524664
20230707,521792,491151,0,0,1012943,1012943,17.87884397971929,1653.2936823202344,0.0,521792
20230710,524267,494030,0,0,1018297,1050661,17.885615736146697,1651.3606510995712,0.0,524267
20230712,523900,486445,0,0,1010345,1031382,17.96613628098099,1653.7000937292107,0.0,523900
20230717,536613,503379,0,0,1039992,1039992,17.784738781347144,1813.7651446645457,0.0,536613
20230723,545911,524545,0,0,1070456,1079993,16.96378467953876,1816.2488816238815,0.0,545911
20230724,542875,518793,0,0,1061668,1061668,17.21183831382442,1812.4127565209862,0.0,542875
20230725,547792,526353,0,0,1074145,1084469,15.45114050201507,1853.8748609331753,0.0,547792
20230726,537834,498066,0,0,1035900,1035900,17.490549985107073,1715.0078717020515,0.0,537834
20230727,546873,525253,0,0,1072126,1084590,17.132691867803466,1859.5913529590312,0.0,546873
20230728,544992,488631,0,0,1033623,1033623,17.484806745755517,1849.5491342486687,0.0,544992
20230729,601409,3122,0,0,604531,601409,14.760186267079758,1826.559607568283,0.0,601409
20230801,598216,5869,0,0,604085,598216,16.354162038339826,1823.4176702006591,0.0,598216
20230802,609093,559732,0,0,1168825,1168825,16.30410205522396,1831.5916575481556,0.0,609093
20230805,569970,23341,0,0,593311,593311,15.431442342978356,1890.4105374230223,0.0,569970
20230806,540,137,0,0,677,0,0.6631384416896643,44.94441010848846,0.0,540
20230807,552898,534164,0,0,1087062,1105796,16.821980973256913,1857.0794274882267,0.0,552898
20230808,555530,7660,0,0,563190,563190,14.584314538623696,1705.3351576742914,0.0,555530
20230810,542408,511230,0,0,1053638,1060664,16.892290400562146,1617.8121028104592,0.0,542408
20230816,81,79,0,0,160,0,0.9209424178543982,19.697715603592208,0.0,81
20230817,642644,241,0,0,642885,642644,15.376881569138565,1880.6605222633882,0.0,642644
20230818,648002,150,0,0,648152,648002,14.51276266269083,1899.9473676920632,0.0,648002
20230819,630676,1430,0,0,632106,630676,15.879415012399804,1878.2385365016873,0.0,630676
20230821,645882,28,0,0,645910,645882,14.421915806414983,1869.0371852908652,0.0,645882
20230822,632220,454,0,0,632674,632220,14.99646190125907,1879.0816906137954,0.0,632220
20230823,644598,174,0,0,644772,644598,15.098803464374638,1870.350769240893,0.0,644598
20230824,642430,206,0,0,642636,642430,15.37371373654494,1874.2219719126122,0.0,642430
20230829,638996,435,0,0,639431,638996,15.760905160851843,1899.9473676920632,0.0,638996
20230901,655019,3480,0,0,658499,655019,15.381884276195507,1918.3878648490247,0.0,655019
