date,i1,i2,i3,i4,itotal,largetotal,percent,length,width,circumference
20230702,660,0,0,0,660,0,24.288000924706758,91.23595782365635,0.0,660
20230703,334,0,0,0,334,0,24.511908471261577,66.48308055437865,0.0,334
20230704,258,0,0,0,258,0,24.57576923684411,30.0,0.0,258
20230705,985,0,0,0,985,0,24.199443022125475,47.07440918375928,0.0,985
20230707,1727,0,0,0,1727,0,24.28173689795344,82.21921916437786,0.0,1727
20230708,362,0,0,0,362,0,24.593843377075025,65.29931086925804,0.0,362
20230709,1268,0,0,0,1268,0,24.332028596987236,91.30169768410661,0.0,1268
20230710,1477,0,0,0,1477,0,24.01902469282936,50.99019513592785,0.0,1477
20230711,1332,0,0,0,1332,0,24.037924464093667,58.82176467941097,0.0,1332
20230712,3925,0,0,0,3925,0,23.961733078512484,122.44182292011173,0.0,3925
20230714,37146,0,0,0,37146,53640,22.916609829747703,300.945177731759,0.0,37146
20230716,1569,0,0,0,1569,0,24.357084704000506,86.09297300012354,0.0,1569
20230717,7806,0,0,0,7806,7806,24.19330463487724,153.32318807016765,0.0,7806
20230721,1345,0,0,0,1345,0,24.107403110403382,88.54377448471462,0.0,1345
20230722,8637,0,0,0,8637,8637,23.85502924169738,190.3785702225962,4.47213595499958,8637
20230723,758,0,0,0,758,0,24.687408911358816,77.20103626247513,0.0,758
20230724,14300,0,0,0,14300,14300,23.74495108674582,209.61870145576228,0.0,14300
20230725,13662,0,0,0,13662,13662,23.861795826471024,222.61176967986216,0.0,13662
20230726,11544,0,0,0,11544,11544,23.926518120088392,224.89997776789573,0.0,11544
20230728,19887,0,0,0,19887,19887,23.693187610652508,254.94313091354314,0.0,19887
20230729,13640,0,0,0,13640,13640,23.940266671644384,225.79636843846714,0.0,13640
20230730,24474,0,0,0,24474,24474,22.749114420974188,274.20430339438514,0.0,24474
20230801,26125,0,0,0,26125,26125,21.60866668485448,272.6242835845699,0.0,26125
20230802,26588,0,0,0,26588,26588,23.34218673045803,271.9191056178289,0.0,26588
20230804,20597,0,0,0,20597,20597,23.660359802824953,255.62472493872733,0.0,20597
20230805,11504,0,0,0,11504,11504,23.957138262326673,187.11493793922494,0.0,11504
