date,i1,i2,i3,i4,itotal,largetotal,percent,length,width,circumference
20230701,1145311,471653,120385,65135,1802484,1853598,18.752743993513853,2357.770132985826,0.0,1145311
20230702,1128901,454053,120687,45871,1749512,1834342,18.972822695162375,2320.8283004134537,0.0,1128901
20230703,1155864,468748,124946,53049,1802607,1913525,18.466255310815793,2367.933276086976,0.0,1155864
20230704,1168801,473912,138517,74495,1855725,1954027,18.20078315277966,2389.1923321490885,0.0,1168801
20230705,1154310,460049,125452,70696,1810507,1911134,18.515873424192776,2373.888792677534,0.0,1154310
20230706,1168990,467023,128680,74259,1838952,1965011,18.221194702493655,2406.1263474722186,0.0,1168990
20230707,1177221,490079,146199,77472,1890971,1999891,17.91480793621388,2386.3553800722975,0.0,1177221
20230710,1178874,493765,146891,80432,1899962,2015955,17.836689910583686,2414.121786488826,0.0,1178874
20230711,1177440,491636,130674,79399,1879149,2001079,17.872983323636788,2390.1405816394986,0.0,1177440
20230712,1183566,495948,131599,84711,1895824,2038001,17.69601544180761,2413.43986873508,0.0,1183566
20230723,1301630,509361,138401,96421,2045813,2161315,16.914026857634042,2546.5246906323136,0.0,1301630
20230724,1193143,500502,135713,88921,1918279,2092041,17.34474868527251,2423.4760159737502,0.0,1193143
20230725,1273402,445262,135882,88985,1943531,2049135,17.616046904571963,2403.328525191677,0.0,1273402
20230726,1185834,493753,137467,87501,1904555,2073363,17.446501404456967,2411.5430744649784,0.0,1185834
20230727,1298201,488423,138151,93910,2018685,2112841,17.067654907648286,2547.3688386254553,0.0,1298201
20230729,1348854,521658,103657,96471,2070640,2070640,16.37154734696625,2529.546995017092,0.0,1348854
20230731,1303998,509560,103573,101173,2018304,2032779,16.592439460309475,2548.2331133552125,0.0,1303998
20230801,1344733,506315,114756,112783,2078587,2078587,16.31733854133728,2538.424708357528,0.0,1344733
20230802,1448741,557734,133596,5977,2146048,2140071,15.003424463234708,2617.119790915196,0.0,1448741
20230806,425,368,250,238,1281,0,3.613418771386373,42.941821107167776,2.0,425
20230807,1357085,523830,110218,85809,2076942,2086746,16.329158430025952,2525.986539948303,0.0,1357085
20230808,119745,108286,1843,1581,231455,228031,12.169615046814894,1209.2857396000336,0.0,119745
20230810,1400506,542493,128073,1132,2072204,2071072,15.670386466130859,2550.3019429079372,0.0,1400506
20230816,297,164,122,120,703,0,2.0631780930335557,42.190046219457976,0.0,297
20230817,1524639,582481,28210,24727,2160057,2166841,13.672754104221221,2629.619744373699,0.0,1524639
20230819,1443109,554144,18677,10680,2026610,2026610,14.902546161622057,2542.9628388948195,0.0,1443109
20230820,3022,2897,2435,2241,10595,0,8.578193977947189,111.80339887498948,0.0,3022
20230821,1402015,547340,16907,862,1967124,1966262,15.384375662803434,2510.899440439621,0.0,1402015
20230822,591837,21657,6805,2147,622446,620299,7.842290250101727,1694.9100271105838,0.0,591837
