date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230701,1504592,0,0,0,1504592,1504592,1511142,3408.958785318473,0.0,1504592
20230702,1502498,0,0,0,1502498,1502498,1517490,3405.7745080965065,0.0,1502498
20230705,1481574,0,0,0,1481574,1481574,1487856,3402.265715666547,0.0,1481574
20230706,1513288,0,0,0,1513288,1513288,1528599,3412.984617603777,0.0,1513288
20230710,1516497,0,0,0,1516497,1516497,1527320,3390.8470918046423,0.0,1516497
20230711,1508438,0,0,0,1508438,1508438,1513782,3406.284192488936,0.0,1508438
20230713,1523241,0,0,0,1523241,1523241,1548782,3394.136709091135,0.0,1523241
20230714,1520880,0,0,0,1520880,1520880,1535092,3394.136709091135,0.0,1520880
20230724,1512312,0,0,0,1512312,1512312,1531491,3404.638013063944,0.0,1512312
20230726,1506788,0,0,0,1506788,1506788,1515827,3402.484386444705,0.0,1506788
20230727,1508026,0,0,0,1508026,1508026,1523404,3401.3467920810426,0.0,1508026
20230728,1508843,0,0,0,1508843,1508843,1522537,3406.9117980951605,0.0,1508843
20230729,1523637,0,0,0,1523637,1523637,1560037,3419.9865496811535,0.0,1523637
20230805,1511342,0,0,0,1511342,1511342,1532055,3406.177916668476,0.0,1511342
20230806,1515702,0,0,0,1515702,1515702,1548230,3414.006444047814,0.0,1515702
20230812,1521428,0,0,0,1521428,1529328,1565792,3423.486526919596,0.0,1521428
20230819,1573181,0,0,0,1573181,1614063,1722481,3444.782721740226,0.0,1573181
20230825,1589656,0,0,0,1589656,1661075,1835392,3442.065077827553,0.0,1589656
20230827,1635486,0,0,0,1635486,1702861,1888808,3463.6379718440553,0.0,1635486
20230829,1689588,0,0,0,1689588,1736035,1916957,3535.231251276216,0.0,1689588
20230830,1757429,0,0,0,1757429,1757429,2059357,3538.0672690043643,0.0,1757429
20230901,1714620,0,0,0,1714620,1750746,1986746,3540.1926501251314,0.0,1714620
20230903,1770567,0,0,0,1770567,1777275,2069092,3565.314011416105,0.0,1770567
20230905,10465,0,0,0,10465,10465,2293613,188.67962264113208,0.0,10465
20230907,1692382,0,0,0,1692382,1723849,1998197,3363.9524372380774,0.0,1692382
20230913,1855,0,0,0,1855,0,2537304,116.06894502837527,0.0,1855
20230916,3035,0,0,0,3035,0,2471392,124.06449935416659,0.0,3035
20230921,2485,0,0,0,2485,0,2544228,157.83535725559088,0.0,2485
20230930,5069,0,0,0,5069,0,2683200,176.64653973401235,0.0,5069
20231001,6670,0,0,0,6670,6670,2674039,178.88543819998318,0.0,6670
20231003,5649,0,0,0,5649,0,2619193,174.9514218290323,0.0,5649
20231006,13792,0,0,0,13792,13792,3370758,322.2483514310042,0.0,13792
20231008,2359,0,0,0,2359,0,2808325,149.34523762075577,0.0,2359
20231009,2396,0,0,0,2396,0,2722138,146.32839779072276,0.0,2396
20231013,1196,0,0,0,1196,0,2910967,77.27871634544663,0.0,1196
20231017,5425,0,0,0,5425,0,3023315,163.2666530556684,0.0,5425
20231020,1011,0,0,0,1011,0,2689552,68.35202996254024,0.0,1011
20231021,14221,0,0,0,14221,14221,2888250,268.70057685088807,0.0,14221
20231028,14118,0,0,0,14118,14118,2567357,199.24858845171275,0.0,14118
20231029,954,0,0,0,954,0,3037214,59.36328831862332,0.0,954
