date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230702,1590269,0,0,0,1590269,1590269,1610043,7061.922967577599,97.52948272189288,1590269
20230722,1586458,0,0,0,1586458,1586458,1635605,7081.67917940371,104.70912090166739,1586458
20230723,1565567,0,0,0,1565567,1565567,1583657,7093.116945321006,101.39033484509261,1565567
20230724,1587208,0,0,0,1587208,1587208,1621931,7077.378045575918,104.78549517943789,1587208
20230725,1595305,0,0,0,1595305,1595305,1625019,7060.448144416897,106.90182411914213,1595305
20230727,1617129,0,0,0,1617129,1617129,1653316,7053.35806548909,104.4030650891055,1617129
20230802,1412332,0,0,0,1412332,1412332,1461418,6917.138425678642,114.49017425089369,1412332
20230804,1604874,0,0,0,1604874,1604874,1633728,7050.491330396769,106.3202708800161,1604874
20230806,1598480,0,0,0,1598480,1598480,1625885,7064.67069296227,103.24727599312246,1598480
20230814,1562898,0,0,0,1562898,1562898,1590855,7067.5792178085985,109.41663493271945,1562898
20230820,1599925,0,0,0,1599925,1599925,1650642,7061.922967577599,104.9952379872535,1599925
20230822,1551704,0,0,0,1551704,1551704,1600144,7047.625699482061,111.89280584559492,1551704
20230824,1605873,0,0,0,1605873,1605873,1660214,7043.3293263910355,113.22543883774529,1605873
20230825,1610003,0,0,0,1610003,1610003,1667733,7039.141140792675,111.08555261599052,1610003
20230827,1545963,0,0,0,1545963,1545963,1581339,7077.4571704815,98.08159868191383,1545963
20230828,1601083,0,0,0,1601083,1601083,1655509,7047.782346241972,110.07270324653611,1601083
20230831,1645438,0,0,0,1645438,1645438,1732763,7017.77457603192,118.87808881370864,1645438
20230901,1627363,0,0,0,1627363,1627363,1707875,7020.635298888556,117.64352935882194,1627363
20230902,1617204,0,0,0,1617204,1617204,1687381,7029.261127600824,116.48175822848829,1617204
20230910,1604006,0,0,0,1604006,1604006,1676038,7060.334269707066,103.94229168149026,1604006
20230915,1579104,0,0,0,1579104,1579104,1687762,6900.024637637173,134.7145129523913,1579104
20230924,1633875,0,0,0,1633875,1633875,1767047,7087.051008705948,102.95630140987001,1633875
20230927,1717768,0,0,0,1717768,1736188,1870219,7203.84258573159,99.53893710503444,1717768
20231004,1019,0,0,0,1019,0,2837687,97.52948272189288,0.0,1019
20231005,1959666,0,0,0,1959666,1959666,2337129,7074.712715015359,158.15182578775372,1959666
20231008,2058689,0,0,0,2058689,2058689,2522600,7115.32093443437,208.58571379651102,2058689
20231009,2225891,0,0,0,2225891,2233015,2829537,7072.065610555377,230.21728866442677,2225891
20231025,2124388,0,0,0,2124388,2124388,2635767,7583.622880919119,262.36615635405417,2124388
20231028,2291621,0,0,0,2291621,2291621,2866435,7503.908315004922,284.787640181241,2291621
