date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230702,427153,0,0,0,427153,427153,433337,1641.7673403987546,0.0,427153
20230704,441872,0,0,0,441872,441872,456657,1721.1554258694941,0.0,441872
20230705,450820,0,0,0,450820,450820,476220,1720.5406127145038,0.0,450820
20230706,438544,0,0,0,438544,438544,453094,1722.4784468898297,0.0,438544
20230708,473944,0,0,0,473944,473944,549760,1739.8298767408266,0.0,473944
20230709,447675,0,0,0,447675,447675,471832,1747.3511381516882,0.0,447675
20230711,447043,0,0,0,447043,447043,466594,1748.1384384538885,0.0,447043
20230714,439636,0,0,0,439636,439636,456352,1679.2021915183414,0.0,439636
20230717,431438,0,0,0,431438,431438,453711,1674.0011947427038,0.0,431438
20230720,462832,0,0,0,462832,462832,487243,1771.2752468207757,0.0,462832
20230722,458906,0,0,0,458906,458906,479831,1773.0301745881259,0.0,458906
20230723,447941,0,0,0,447941,447941,466413,1697.8492276995623,0.0,447941
20230724,458971,0,0,0,458971,458971,488692,1709.5707063470643,0.0,458971
20230725,460094,0,0,0,460094,460094,480231,1775.7443509694745,0.0,460094
20230726,453512,0,0,0,453512,453512,473645,1777.6670104381192,0.0,453512
20230728,462906,0,0,0,462906,462906,483788,1782.13579729492,0.0,462906
20230730,449839,0,0,0,449839,449839,472430,1702.3994830826282,0.0,449839
20230802,468374,0,0,0,468374,468374,497770,1756.9086487350446,0.0,468374
20230805,472384,0,0,0,472384,472384,495376,1785.480327530942,0.0,472384
20230807,482559,0,0,0,482559,482559,512490,1803.3579788827287,0.0,482559
20230809,490069,0,0,0,490069,490069,529071,1817.569806087238,0.0,490069
20230810,485440,0,0,0,485440,485440,523047,1816.7663581209335,0.0,485440
20230812,438170,0,0,0,438170,458540,479906,1633.559304096426,0.0,438170
20230816,494376,0,0,0,494376,494376,542017,1795.221434809645,0.0,494376
20230818,536551,0,0,0,536551,545135,601447,1889.8973517098752,0.0,536551
20230821,536438,0,0,0,536438,536438,575521,1893.5564422535706,0.0,536438
20230822,537773,0,0,0,537773,543823,590028,1873.1129170447787,0.0,537773
20230827,473066,0,0,0,473066,473066,507493,1736.3179432350516,0.0,473066
20230901,576431,0,0,0,576431,576431,623118,1920.117704725416,0.0,576431
20230907,715431,0,0,0,715431,715431,872062,2031.3394595684888,0.0,715431
20230910,648722,0,0,0,648722,648722,698920,2015.4016969328968,0.0,648722
20230913,687634,0,0,0,687634,687634,762450,2032.3661087510784,0.0,687634
20230914,710005,0,0,0,710005,710005,784814,2023.3081821610865,0.0,710005
20230921,740336,0,0,0,740336,740336,836663,2070.990101376634,0.0,740336
20230922,741811,0,0,0,741811,741811,801132,2068.209853955831,0.0,741811
20230924,753679,0,0,0,753679,753679,830990,2070.7196816565975,0.0,753679
20230927,853654,0,0,0,853654,853654,954582,2137.217817631137,0.0,853654
20231009,335,0,0,0,335,0,1116794,40.44749683231337,0.0,335
20231011,697,0,0,0,697,0,1209788,64.4980619863884,0.0,697
20231013,503,0,0,0,503,0,1082792,34.92849839314596,0.0,503
20231017,777,0,0,0,777,0,1066342,94.76286192385707,0.0,777
20231029,6374,0,0,0,6374,6374,1122811,178.53851125177448,0.0,6374
