date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230704,66718,0,0,0,66718,66718,73288,1078.9365134242144,0.0,66718
20230711,74993,0,0,0,74993,74993,91057,1049.237818609299,0.0,74993
20230712,71387,0,0,0,71387,71387,117685,1058.158778255891,0.0,71387
20230713,75061,0,0,0,75061,75061,139419,1050.3275679520175,0.0,75061
20230716,67488,0,0,0,67488,67488,108391,1065.9005582135699,0.0,67488
20230719,75176,0,0,0,75176,84160,131497,1045.541008282315,0.0,75176
20230720,72035,0,0,0,72035,72035,86589,1021.7201182319941,0.0,72035
20230721,72769,0,0,0,72769,72769,86187,1051.08705633739,0.0,72769
20230723,74609,0,0,0,74609,74609,94221,1045.8680605124148,0.0,74609
20230724,74020,0,0,0,74020,74020,85981,1051.08705633739,0.0,74020
20230725,72571,0,0,0,72571,72571,89918,1052.936845209626,0.0,72571
20230726,73485,0,0,0,73485,73485,89251,1048.1545687540554,0.0,73485
20230728,72945,0,0,0,72945,72945,82201,1048.8183827527052,0.0,72945
20230729,74311,0,0,0,74311,74311,91084,1052.178692048076,0.0,74311
20230801,74811,0,0,0,74811,74811,86688,1050.3275679520175,0.0,74811
20230804,72588,0,0,0,72588,72588,84539,1052.6157893552613,0.0,72588
20230805,72624,0,0,0,72624,72624,83195,1037.3851743687105,0.0,72624
20230808,73156,0,0,0,73156,73156,88061,1049.5713410721542,0.0,73156
20230812,73028,0,0,0,73028,73028,85181,1052.313641458667,0.0,73028
20230813,72824,0,0,0,72824,72824,111923,1029.230780728987,0.0,72824
20230814,72764,0,0,0,72764,72764,83661,1058.158778255891,0.0,72764
20230816,73512,0,0,0,73512,73512,101784,1035.0980629872709,0.0,73512
20230817,70253,0,0,0,70253,70253,80007,1037.7070877661,0.0,70253
20230818,72899,0,0,0,72899,72899,95239,1041.4086613813042,0.0,72899
20230819,69033,0,0,0,69033,69033,92466,1050.3275679520175,0.0,69033
20230820,72730,0,0,0,72730,72730,85702,1049.5713410721542,0.0,72730
20230822,72763,0,0,0,72763,72763,86089,1048.4769906869678,0.0,72763
20230825,73875,0,0,0,73875,73875,88734,1049.237818609299,0.0,73875
20230827,73985,0,0,0,73985,73985,98857,1044.1647379604426,0.0,73985
20230830,71389,0,0,0,71389,71389,83177,1016.6159550193967,0.0,71389
20230831,15811,0,0,0,15811,23487,194005,241.8677324489565,0.0,15811
20230902,77304,0,0,0,77304,77304,99566,1055.8825692282262,0.0,77304
20230903,74626,0,0,0,74626,74626,88834,1064.154124175629,0.0,74626
20230904,74500,0,0,0,74500,74500,87730,1055.5472514293238,0.0,74500
20230905,74536,0,0,0,74536,74536,90903,1060.3414544381446,0.0,74536
20230909,74733,0,0,0,74733,74733,83427,1021.5674231297708,0.0,74733
20230910,112512,0,0,0,112512,119793,147292,1236.7829235561105,0.0,112512
20230913,155700,0,0,0,155700,155700,220252,1409.8397072007867,0.0,155700
20230915,118526,0,0,0,118526,128543,168159,1275.1941028721862,0.0,118526
20230919,154785,0,0,0,154785,154785,187693,1448.2789786501771,0.0,154785
20230926,143856,0,0,0,143856,175001,208309,1335.959580226887,0.0,143856
20230927,132649,0,0,0,132649,160395,204245,1294.8899567144692,0.0,132649
20230929,153682,0,0,0,153682,176053,257307,1172.5527706674868,0.0,153682
20230930,112802,0,0,0,112802,139242,195780,1206.465913318731,0.0,112802
20231005,280409,0,0,0,280409,280409,314371,2014.7932896453672,0.0,280409
20231006,297707,0,0,0,297707,297707,341508,2038.401334379469,0.0,297707
20231008,291181,0,0,0,291181,291181,338807,2029.472837955709,0.0,291181
20231010,303089,0,0,0,303089,303089,383051,2033.6764737784622,0.0,303089
20231011,306318,0,0,0,306318,306318,381344,2034.7245513828157,0.0,306318
20231017,305576,0,0,0,305576,305576,367561,2036.3044958944622,0.0,305576
20231021,283025,0,0,0,283025,283025,343717,1742.6095374466422,0.0,283025
20231027,334916,0,0,0,334916,341524,419854,2026.655372775549,0.0,334916
20231028,332277,0,0,0,332277,339165,420075,2029.2905164120784,0.0,332277
