date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230710,1482236,366,0,0,1482602,1482236,1489949,2596.4683706912356,0.0,1482236
20230717,1495315,726,0,0,1496041,1495315,1513038,2603.8202702951676,0.0,1495315
20230723,1497570,94,0,0,1497664,1497570,1551772,2611.1790440335567,0.0,1497570
20230724,1496947,2046,0,0,1498993,1496947,1530144,2604.341759447097,0.0,1496947
20230725,1503774,55,0,0,1503829,1503774,1545303,2607.682496010586,0.0,1503774
20230728,1486526,690,0,0,1487216,1486526,1500644,2596.6201108363925,0.0,1486526
20230729,1498297,93,0,0,1498390,1498297,1529351,2610.6558562935866,0.0,1498297
20230801,1501324,699,0,0,1502023,1501324,1544845,2608.725359251142,0.0,1501324
20230802,1502741,96,0,0,1502837,1502741,1541757,2604.341759447097,0.0,1502741
20230804,1503777,138,0,0,1503915,1503777,1557423,2609.773936569986,0.0,1503777
20230805,1508099,91,0,0,1508190,1508099,1595128,2620.059541308174,0.0,1508099
20230812,1495199,1476,0,0,1496675,1495199,1538198,2615.4081899390007,0.0,1495199
20230817,1504795,139,0,0,1504934,1504795,1569876,2611.703658534023,0.0,1504795
20230818,1518199,28,0,0,1518227,1518199,1617351,2623.8079197990082,0.0,1518199
20230819,1499585,1694,0,0,1501279,1499585,1546077,2620.3099053356264,0.0,1499585
20230825,1500793,167,0,0,1500960,1500793,1548950,2607.318929475257,0.0,1500793
20230827,1502842,164,0,0,1503006,1502842,1603961,2621.7215717920926,0.0,1502842
20230901,1515840,1206,0,0,1517046,1515840,1593403,2621.7215717920926,0.0,1515840
20230902,1504792,451,0,0,1505243,1504792,1550413,2608.725359251142,0.0,1504792
20230903,1503556,216,0,0,1503772,1503556,1548734,2604.8646797866486,0.0,1503556
20230904,1505990,319,0,0,1506309,1505990,1560999,2609.9938697246016,0.0,1505990
20230908,1516700,285,0,0,1516985,1516700,1605973,2622.619301385544,0.0,1516700
20230909,1516466,671,0,0,1517137,1516466,1605070,2620.831165870858,0.0,1516466
20230910,1548624,1471,0,0,1550095,1548624,1678250,2621.7215717920926,0.0,1548624
20230914,1529969,1891,0,0,1531860,1529969,1638870,2617.4934574894355,0.0,1529969
20230919,1581670,254,0,0,1581924,1581670,1712878,2612.229698935375,0.0,1581670
20230925,1571483,442,0,0,1571925,1571483,1732206,2609.4290563263066,0.0,1571483
20230926,1609509,1565,0,0,1611074,1609509,1801814,2622.060258651582,0.0,1609509
20231003,1903980,545,0,0,1904525,1903980,2671104,4250.180702040797,0.0,1903980
20231005,2145850,410,0,0,2146260,2145850,2392080,2794.3550239724373,0.0,2145850
20231006,2024774,1039,0,0,2025813,2024774,2548753,4165.153058412139,0.0,2024774
20231009,2150572,340,0,0,2150912,2150572,2411429,2796.5156892104146,0.0,2150572
20231011,2109252,330,0,0,2109582,2109252,2349219,2785.8420630035725,0.0,2109252
20231013,2126347,168,0,0,2126515,2126347,2385497,2778.713371328536,0.0,2126347
20231016,1713777,8205,0,0,1721982,1721982,2264521,2623.312409912323,0.0,1713777
20231020,2099634,843,0,0,2100477,2099634,2478587,4268.712686513348,0.0,2099634
20231021,2014619,764,0,0,2015383,2014619,2561322,4215.658904607914,0.0,2014619
20231025,2140524,751,0,0,2141275,2140524,2402313,2779.4632575373253,0.0,2140524
20231028,2047046,374,0,0,2047420,2047046,2529694,4242.754294087745,0.0,2047046
