,id,maximum,mean
0,DS_00,30.651611053804636,3.850230807133333
1,DS_01,10.624894625557964,5.500010902128063
2,DS_02,7.618427235070609,3.6259527228809043
3,DS_03,12.346569272234799,6.468926152534684
4,DS_04,22.46548319392893,9.214665236749376
5,DS_05,8.487825225814758,2.975891472969876
6,DS_06,4.074354792539027,1.8983959060788358
7,DS_07,4.7910743801652895,2.536371018563532
8,DS_08,3.532290278829471,1.7842642435120006
9,DS_09,5.4464724934071596,2.173110708776096
10,DS_10,8.447908512622616,3.64788880939147
11,DS_11,22.15127403986105,9.298675395300595
12,DS_12,14.129092925379151,3.9542435058804557
13,DS_13,20.026545977786665,9.021926802559811
14,DS_14,33.93469194653656,13.923950978483893
15,DS_15,10.06007826432872,2.651751782334003
16,DS_16,6.435908530482738,3.305833462061212
17,DS_17,15.785934684421234,6.459337483114753
18,DS_18,9.540296195021348,2.99371044095787
19,DS_19,16.6420396090535,4.320936622248352
20,DS_20,18.72365060587013,1.6772537302092247
21,DS_21,2.704464234415399,-11.727683871173673
22,DS_22,9.508869219422946,4.18160344585274
23,DS_23,5.161794741063238,-0.5623235261509837
24,DS_24,28.629710581535136,8.31763335016957
25,DS_25,11.336635449184875,2.716421423157461
26,DS_26,20.40401559139005,5.864021536343226
27,DS_27,5.032736507936508,1.2216757455183331
28,DS_28,5.598609961277753,0.9696280967326699
29,DS_29,4.417555302156695,0.8879919087741892
30,DS_30,5.505749029492768,1.3195678859116706
31,DS_31,14.238656241956454,2.285480093652308
32,DS_32,14.170348396241971,3.173593336709533
33,DS_33,22.927060209898492,5.973604596060893
34,DS_34,13.19275609378253,4.909666968093002
