date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230121,1695914,0,0,0,1695914,1695914,1700715,3290.1890523190305,0.0,1695914
20230528,1477662,0,0,0,1477662,1477662,1496001,3176.4256641703423,0.0,1477662
20230530,1604323,0,0,0,1604323,1616053,1615737,3253.5371520854037,0.0,1604323
20230618,1652035,0,0,0,1652035,1652035,1662675,3263.854163408653,0.0,1652035
20230628,1664074,0,0,0,1664074,1664074,1674386,3270.1296610379227,0.0,1664074
20230701,1671564,0,0,0,1671564,1671564,1686629,3273.7819108792205,0.0,1671564
20230702,1690874,0,0,0,1690874,1690874,1744824,3280.34449410424,0.0,1690874
20230703,1675616,0,0,0,1675616,1675616,1684409,3270.351663047875,0.0,1675616
20230704,1684541,0,0,0,1684541,1684541,1705334,3268.3531020989763,0.0,1684541
20230705,1671227,0,0,0,1671227,1671227,1681997,3268.203788015674,0.0,1671227
20230708,1679657,0,0,0,1679657,1679657,1717594,3272.3502257551836,0.0,1679657
20230710,1715740,0,0,0,1715740,1729370,1780704,3294.7260887667126,0.0,1715740
20230711,1705654,0,0,0,1705654,1721764,1785617,3290.7294024273706,0.0,1705654
20230712,1697241,0,0,0,1697241,1716594,1741369,3286.732724150231,0.0,1697241
20230714,1705161,0,0,0,1705161,1743646,1778369,3298.407494534294,0.0,1705161
20230720,1704290,0,0,0,1704290,1749942,1806295,3290.8114500833985,0.0,1704290
20230721,1711180,0,0,0,1711180,1794755,1844790,3307.224213747837,0.0,1711180
20230726,1714984,0,0,0,1714984,1790093,1843735,3294.565828754982,0.0,1714984
20230728,1704367,0,0,0,1704367,1806443,1856136,3279.076089388595,0.0,1704367
20230729,1776622,0,0,0,1776622,1930313,2086417,3348.690490326032,0.0,1776622
20230730,1734907,0,0,0,1734907,1854604,1931620,3311.582703179856,0.0,1734907
20230731,1726498,0,0,0,1726498,1858270,1923728,3321.274454181708,0.0,1726498
20230802,1732496,0,0,0,1732496,1877353,1934569,3327.1639574869164,0.0,1732496
20230805,1629390,0,0,0,1629390,1810403,1848215,3253.245149078071,0.0,1629390
20230806,1719078,0,0,0,1719078,1862812,1921948,3311.2203188552708,0.0,1719078
20230817,1781451,0,0,0,1781451,1927726,2101320,3344.002392343642,0.0,1781451
20230819,1739274,0,0,0,1739274,1900806,2054446,3356.6489241503946,0.0,1739274
20230822,1744796,0,0,0,1744796,1917205,2046705,3350.573682222195,0.0,1744796
20230828,1972266,0,0,0,1972266,1972266,2170349,4544.124118023186,315.37913691301776,1972266
20230901,1736912,0,0,0,1736912,1851381,2025894,3328.117786377159,0.0,1736912
20230907,1823384,0,0,0,1823384,1831964,2319375,4635.998705780665,258.93628559937287,1823384
20230908,1845194,0,0,0,1845194,1852945,2291295,4602.89517586486,287.3673607075097,1845194
20230909,1855202,0,0,0,1855202,1864903,2283361,4611.192036773138,291.6504757410829,1855202
20230913,1710401,0,0,0,1710401,1828585,2020842,3304.4745421927523,0.0,1710401
20230915,1776981,0,0,0,1776981,1792985,2361049,4638.09012417827,276.72368890284764,1776981
20230919,1784335,0,0,0,1784335,1796963,2348184,4645.253922015459,265.08866441249427,1784335
20230922,1926070,0,0,0,1926070,1962610,2220946,4588.713981062668,297.3213749463701,1926070
20230923,1935041,0,0,0,1935041,1950052,2216844,4552.7354414681295,113.03096920755833,1935041
20230926,1718599,0,0,0,1718599,1740395,2418086,4687.754259770877,268.69313351851775,1718599
20230929,1727485,0,0,0,1727485,1747713,2406144,4691.253563814261,272.389427107588,1727485
20231001,1664381,0,0,0,1664381,1664381,2474149,4722.298169323915,251.85710234178427,1664381
20231005,1664545,0,0,0,1664545,1664545,2463646,4699.3978337655135,246.81166909204273,1664545
20231007,11260,0,0,0,11260,21625,2699079,309.7418279793674,0.0,11260
20231013,12462,0,0,0,12462,23561,2704726,302.6945655276949,0.0,12462
20231018,8391,0,0,0,8391,8391,2513582,215.87033144922904,0.0,8391
20231021,7381,0,0,0,7381,7381,2566617,196.82479518597245,0.0,7381
20231024,5026,0,0,0,5026,0,2528726,188.403821617291,0.0,5026
20231029,10442,0,0,0,10442,19195,2694411,218.25672956406177,0.0,10442
20231201,1650508,0,0,0,1650508,1650508,2470731,4609.562669060916,260.0999807766237,1650508
20231207,1766750,0,0,0,1766750,1947820,2105289,3351.4922049737784,0.0,1766750
20231218,1715230,0,0,0,1715230,1767156,1835322,3297.059295796786,0.0,1715230
