date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20220122,561395,2094,0,0,563489,561395,1047495,1862.6830111427978,0.0,561395
20220425,85445,59133,0,0,144578,245568,389453,1032.7632836231157,0.0,85445
20220430,17052,10524,0,0,27576,44905,111399,350.09141663285607,0.0,17052
20220503,53406,51156,0,0,104562,162419,293341,1029.3551379383114,24.73863375370596,53406
20220525,88349,64399,0,0,152748,211145,289218,1007.321200015169,0.0,88349
20220602,126796,66783,0,0,193579,251672,328247,1634.5910803623028,0.0,126796
20220617,31232,29200,0,0,60432,114455,210500,705.8215071815254,2.0,31232
20220618,151503,63211,0,0,214714,268366,365215,1275.8463857377187,67.08203932499369,151503
20220622,36020,25067,0,0,61087,101893,185428,631.7372871692789,0.0,36020
20220629,225754,88526,0,0,314280,343988,469628,1603.277892319357,83.54639429682169,225754
20220712,144137,70650,0,0,214787,268723,392597,1215.7927454957116,52.3450093132096,144137
20220714,196849,84312,0,0,281161,311540,424520,1572.3256660119748,44.94441010848846,196849
20220724,334946,110953,0,0,445899,445899,601141,1480.0567556685114,0.0,334946
20220725,305157,104159,0,0,409316,409316,552671,1480.499915569062,4.0,305157
20220726,461014,1841,0,0,462855,461014,599612,1838.8311504866344,40.0,461014
20220727,326361,111235,0,0,437596,437596,578889,1507.9164433084482,2.0,326361
20220805,429092,1494,0,0,430586,429092,580860,1892.436524695082,0.0,429092
20220809,384931,5190,0,0,390121,384931,546360,1895.081000907349,2.0,384931
20220810,464473,694,0,0,465167,464473,623471,1843.8242866390497,0.0,464473
20220811,194267,48705,0,0,242972,260750,411714,1442.0665726657699,27.202941017470888,194267
20220816,452141,36252,0,0,488393,488393,659219,1902.5845579106333,2.0,452141
20220821,310239,123052,0,0,433291,463410,611056,1554.6227838289262,0.0,310239
20220825,233602,70698,0,0,304300,320222,457015,1335.7844137434754,0.0,233602
20220826,255103,81685,0,0,336788,355177,485835,1278.8275880665071,0.0,255103
20220830,485409,5524,0,0,490933,485409,648069,1840.0108695331123,0.0,485409
20220901,547388,7967,0,0,555355,555355,730742,1865.0147452500207,0.0,547388
20220905,643160,3288,0,0,646448,643160,916124,1862.7946746756606,0.0,643160
20220907,546670,546,0,0,547216,546670,732993,1838.508090817117,0.0,546670
20220910,210500,78345,0,0,288845,330443,483851,1212.1320060125465,26.0,210500
20220915,638320,3755,0,0,642075,638320,808183,1974.4903139797875,0.0,638320
20220919,765274,1866,0,0,767140,765274,981067,1883.8736688005383,0.0,765274
20220921,693204,3126,0,0,696330,693204,877999,2054.658122413556,0.0,693204
20220924,774302,6811,0,0,781113,781113,984596,2138.6210510513542,0.0,774302
20220925,746559,6290,0,0,752849,752849,955819,2122.1357166778944,0.0,746559
20220926,667388,1344,0,0,668732,667388,851732,1946.1192152589215,0.0,667388
20220929,925671,1422,0,0,927093,925671,1172819,2288.9237645670946,0.0,925671
20221005,705966,10197,0,0,716163,716163,921194,2058.0038872655223,0.0,705966
20221007,1202412,3271,0,0,1205683,1202412,1502094,2488.790871085797,0.0,1202412
20221106,1086073,8978,0,0,1095051,1095051,1345691,2234.2873584210247,0.0,1086073
20221130,1128667,1141,0,0,1129808,1128667,1502594,2485.3724067028666,0.0,1128667
