date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20210102,379217,0,0,0,379217,379217,1290121,1604.7753736894144,0.0,379217
20210525,45199,0,0,0,45199,150925,210144,371.7687453242943,0.0,45199
20210530,41039,0,0,0,41039,86568,252513,376.9403135776273,0.0,41039
20210622,38804,0,0,0,38804,150155,329756,569.7227395847914,0.0,38804
20210625,50791,0,0,0,50791,135111,223752,398.08039389048037,2.0,50791
20210626,6210,0,0,0,6210,6210,1642922,169.00887550658396,0.0,6210
20210630,46942,0,0,0,46942,172882,331209,375.04666376332426,0.0,46942
20210717,67662,0,0,0,67662,162944,382421,658.6349520030045,0.0,67662
20210718,67824,0,0,0,67824,161747,380068,661.3682786466252,0.0,67824
20210719,70771,0,0,0,70771,166822,398973,668.5656287904726,0.0,70771
20210725,68265,0,0,0,68265,168398,404174,666.8373114935906,0.0,68265
20210726,72310,0,0,0,72310,185040,443413,664.1024017423819,0.0,72310
20210728,72346,0,0,0,72346,186157,454030,666.8373114935906,0.0,72346
20210803,72785,0,0,0,72785,181188,434531,665.8318105948379,0.0,72785
20210805,71978,0,0,0,71978,177635,422344,660.8721510246895,0.0,71978
20210806,75132,0,0,0,75132,160488,531407,662.8423643672755,0.0,75132
20210809,61835,0,0,0,61835,187931,454754,667.8353090395865,0.0,61835
20210810,78345,0,0,0,78345,165161,583159,529.2447448959697,0.0,78345
20210811,56988,0,0,0,56988,170217,421836,395.5401370278369,0.0,56988
20210817,64186,0,0,0,64186,120936,444939,512.5621913485231,0.0,64186
20210818,63023,0,0,0,63023,112531,485041,510.3253863957779,0.0,63023
20210819,98495,0,0,0,98495,187275,647178,986.4887226927635,0.0,98495
20210820,66941,0,0,0,66941,120045,498482,498.14054241749886,0.0,66941
20210822,90173,0,0,0,90173,157117,577316,1006.3995230523512,0.0,90173
20210823,94464,0,0,0,94464,166871,592521,990.9450035193679,0.0,94464
20210826,96929,0,0,0,96929,184089,615466,986.4887226927635,0.0,96929
20210827,58855,0,0,0,58855,110900,493087,414.0193232205473,0.0,58855
20210907,80237,0,0,0,80237,159607,604021,1039.509499716092,0.0,80237
20210908,73682,0,0,0,73682,134479,538791,1053.4229919647662,0.0,73682
20210910,77178,0,0,0,77178,141898,568216,1018.4301645179212,0.0,77178
20210914,117209,0,0,0,117209,228181,711211,811.32977265721,0.0,117209
20210930,325582,0,0,0,325582,325582,1068865,1616.9514525798231,0.0,325582
20211003,282371,0,0,0,282371,282371,972675,1451.6556065403392,0.0,282371
20211005,282543,0,0,0,282543,282543,979677,1457.0614262960914,0.0,282543
20211012,295937,0,0,0,295937,295937,1015765,1597.4542246962822,0.0,295937
20211013,336773,0,0,0,336773,336773,1142776,1610.5899540230591,0.0,336773
20211014,308971,0,0,0,308971,308971,1038643,1632.942130021759,0.0,308971
20211015,325784,0,0,0,325784,325784,1108811,1613.2972447754319,0.0,325784
20211016,328085,0,0,0,328085,334790,1127832,1615.0603703886738,0.0,328085
20211030,332867,0,0,0,332867,332867,1157100,1633.0413344431915,0.0,332867
20211116,326226,0,0,0,326226,326226,1163024,1636.7638803443824,0.0,326226
20211124,327906,0,0,0,327906,327906,1146212,1598.8258191560456,0.0,327906
20211226,341097,0,0,0,341097,341097,1100337,1554.0115829684153,0.0,341097
