date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20210506,484513,320734,0,0,805247,818778,835263,1556.675945725378,0.0,484513
20210529,509585,335700,0,0,845285,868571,957725,1574.1029191256841,0.0,509585
20210531,513207,421043,0,0,934250,934250,1038751,1566.4035240001217,0.0,513207
20210602,512360,338045,0,0,850405,904579,1000364,1566.8669375540478,0.0,512360
20210603,519459,441697,0,0,961156,961156,1086601,1572.2417116970278,0.0,519459
20210611,517815,444163,0,0,961978,972076,1103473,1578.9338174857107,0.0,517815
20210614,520948,444254,0,0,965202,971684,1105757,1568.349450855899,0.0,520948
20210624,522842,458160,0,0,981002,981002,1148276,1575.112694380945,0.0,522842
20210625,519657,441852,0,0,961509,975682,1108650,1568.8122896000018,0.0,519657
20210701,516935,489501,0,0,1006436,1006436,1233908,1657.8166364227377,0.0,516935
20210702,520121,473960,0,0,994081,994081,1192732,1589.1947646528415,0.0,520121
20210705,517596,463340,0,0,980936,980936,1156904,1568.8122896000018,0.0,517596
20210706,518384,466931,0,0,985315,985315,1169224,1565.942527681013,0.0,518384
20210707,520907,474908,0,0,995815,995815,1198571,1553.5481968706347,0.0,520907
20210708,532240,492654,0,0,1024894,1024894,1260354,1650.019393825418,0.0,532240
20210710,530686,483427,0,0,1014113,1014113,1241249,1633.9791920339744,0.0,530686
20210713,542521,506548,0,0,1049069,1059527,1296335,1768.6559869007879,0.0,542521
20210714,545972,514106,0,0,1060078,1073782,1325426,1757.6814273354544,0.0,545972
20210716,549596,508995,0,0,1058591,1058591,1288879,1727.1780452518494,0.0,549596
20210717,571495,524380,0,0,1095875,1095875,1354520,1748.274577976812,0.0,571495
20210720,576466,530734,0,0,1107200,1107200,1370491,1745.7720355189563,0.0,576466
20210722,595289,557902,0,0,1153191,1153191,1438218,1892.2801061153712,0.0,595289
20210724,571050,525757,0,0,1096807,1096807,1351496,1735.6727802209723,0.0,571050
20210725,574105,531705,0,0,1105810,1105810,1386188,1707.6814691270736,0.0,574105
20210726,569640,521392,0,0,1091032,1091032,1359137,1715.848478158838,0.0,569640
20210727,585379,546043,0,0,1131422,1131422,1431649,1750.6661589235111,0.0,585379
20210729,576957,536407,0,0,1113364,1113364,1389953,1743.3485021647277,0.0,576957
20210730,569180,526126,0,0,1095306,1095306,1351378,1746.256567632603,0.0,569180
20210731,590216,558719,0,0,1148935,1148935,1433828,1723.0716758161861,0.0,590216
20210805,640398,1248,0,0,641646,640398,1548326,1995.5320092646973,0.0,640398
20210806,608910,570705,0,0,1179615,1179615,1475048,1918.4128856948391,0.0,608910
20210810,612881,562966,0,0,1175847,1182837,1456539,1905.3860501221268,0.0,612881
20210811,634488,753,0,0,635241,634488,1640241,2012.2027730822756,0.0,634488
20210813,651017,1884,0,0,652901,651017,1572628,1998.8096457641984,0.0,651017
20210815,642858,584485,0,0,1227343,1236532,1520450,2002.8230076569423,0.0,642858
20210818,650860,2352,0,0,653212,650860,1558932,1993.2215130285947,0.0,650860
20210819,658493,603900,0,0,1262393,1262393,1582634,1994.3851182758058,0.0,658493
20210823,631074,540237,0,0,1171311,1171311,1450698,2023.6620271181648,0.0,631074
20210825,653125,3169,0,0,656294,653125,1559118,2063.5551846267645,0.0,653125
20210827,652326,3148,0,0,655474,652326,1552821,2060.117472378699,0.0,652326
20210903,686341,469,0,0,686810,686341,1624663,2172.137196403579,0.0,686341
20210904,687192,536,0,0,687728,687192,1649014,2169.4874970831243,0.0,687192
20210905,712882,984,0,0,713866,712882,1728704,2155.7754985155575,0.0,712882
20210906,694962,572,0,0,695534,694962,1672393,2158.729255835479,0.0,694962
20210908,707318,976,0,0,708294,707318,1784460,2157.74141175443,0.0,707318
20210913,676052,801,0,0,676853,676052,1646182,2124.8039909601075,0.0,676052
20210914,670558,1248,0,0,671806,670558,1610770,2127.372087811627,0.0,670558
20210919,675218,1444,0,0,676662,675218,1631803,2120.0849039602163,0.0,675218
20210920,665929,4723,0,0,670652,665929,1636396,2028.967224969393,0.0,665929
20210926,654958,4688,0,0,659646,654958,1585845,2056.409492294762,0.0,654958
20211002,694957,511,0,0,695468,694957,1677205,2163.198557691827,0.0,694957
20211004,688295,2139,0,0,690434,688295,1623595,2174.948275247023,0.0,688295
20211010,692159,2222,0,0,694381,692159,1669159,2160.714696576112,0.0,692159
20211011,804,614,0,0,1418,0,1664063,62.289646009589745,0.0,804
20211024,697914,2401,0,0,700315,697914,1687613,2157.8999050002294,0.0,697914
20211029,654013,1945,0,0,655958,654013,1661670,2006.3200143546394,0.0,654013
20211031,642141,1474,0,0,643615,642141,1467674,2008.4501487465404,0.0,642141
20211124,589169,466520,0,0,1055689,1055689,1405223,1708.2821780958789,0.0,589169
