date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20210106,1009652,0,0,0,1009652,1109357,1117202,1618.221245689229,0.0,1009652
20210111,999871,0,0,0,999871,1020189,1041067,1580.3695770293732,0.0,999871
20210513,772205,0,0,0,772205,772205,785060,1394.73581727867,0.0,772205
20210516,889669,0,0,0,889669,889669,904867,1476.592022191641,0.0,889669
20210520,870970,0,0,0,870970,870970,877998,1470.2829659626748,0.0,870970
20210524,868689,0,0,0,868689,868689,870826,1468.3460082691681,0.0,868689
20210531,860631,0,0,0,860631,860631,884003,1464.472601314207,0.0,860631
20210601,879234,0,0,0,879234,879234,880781,1475.6584970785077,0.0,879234
20210603,883194,0,0,0,883194,890816,903671,1472.2200922416457,0.0,883194
20210606,858108,0,0,0,858108,858108,864522,1462.536153399293,0.0,858108
20210611,904211,0,0,0,904211,942979,946144,1507.846145997661,0.0,904211
20210626,989387,0,0,0,989387,1079687,1096340,1707.144985055458,0.0,989387
20210627,995581,0,0,0,995581,1101349,1123778,1560.1564024161166,0.0,995581
20210701,983615,0,0,0,983615,1071989,1080865,1710.625616550857,0.0,983615
20210702,991440,0,0,0,991440,1152341,1168441,1842.3561002151566,0.0,991440
20210709,983963,0,0,0,983963,1111640,1120805,1780.2494207273317,0.0,983963
20210713,1336031,0,0,0,1336031,1336031,1393145,2312.2050082118585,0.0,1336031
20210715,1036442,0,0,0,1036442,1232054,1246375,1928.4325240982637,0.0,1036442
20210716,1037002,0,0,0,1037002,1225547,1249158,1985.2546436162793,0.0,1037002
20210718,1244356,0,0,0,1244356,1244356,1287733,2336.0419516780944,0.0,1244356
20210721,1318137,0,0,0,1318137,1318137,1339639,2459.5040150404307,0.0,1318137
20210722,1291134,0,0,0,1291134,1291134,1304172,2462.4223845636234,0.0,1291134
20210724,1397495,0,0,0,1397495,1397495,1421114,2441.4159825806005,0.0,1397495
20210725,1347900,0,0,0,1347900,1347900,1361001,2483.894522720319,0.0,1347900
20210727,1406827,0,0,0,1406827,1406827,1425884,2427.8195979108496,0.0,1406827
20210728,1367896,0,0,0,1367896,1367896,1384126,2434.8314110015913,0.0,1367896
20210729,1543118,0,0,0,1543118,1553992,1587162,2590.114283192925,0.0,1543118
20210730,1455142,0,0,0,1455142,1455142,1486767,2563.220630378899,0.0,1455142
20210805,1443507,0,0,0,1443507,1453046,1488928,2659.3984282164265,0.0,1443507
20210806,1376213,0,0,0,1376213,1393642,1420363,2428.9298054904757,0.0,1376213
20210808,1329619,0,0,0,1329619,1346535,1373117,2477.2218310034327,0.0,1329619
20210809,1551233,0,0,0,1551233,1591903,1632073,2872.22561787893,0.0,1551233
20210811,1723048,0,0,0,1723048,1730744,1771283,3122.5073258520947,0.0,1723048
20210820,1584366,0,0,0,1584366,1599685,1669669,3266.805167131949,0.0,1584366
20210822,4904,0,0,0,4904,0,2205806,221.7746604100658,0.0,4904
20210824,1617578,0,0,0,1617578,1628458,1692637,3504.059360227792,0.0,1617578
20210827,1422065,0,0,0,1422065,1422065,2084131,3970.9248293061405,208.4034548657963,1422065
20210828,1547971,0,0,0,1547971,1561748,1979115,3966.761903618618,193.7937047481161,1547971
20210903,1416843,0,0,0,1416843,1416843,2094419,4013.7722905017918,213.01643129110957,1416843
20210908,1450425,0,0,0,1450425,1469915,2075189,4034.289032778886,230.82460874005614,1450425
20210909,1326744,0,0,0,1326744,1337760,2189587,4046.6529379228955,155.64061166674975,1326744
20210913,1337230,0,0,0,1337230,1345279,2178407,4034.004462069917,155.79473675320358,1337230
20210916,1460231,0,0,0,1460231,1479040,2055035,3958.9296533280303,236.2371689637344,1460231
20210917,1453539,0,0,0,1453539,1470012,2067343,3983.531096903851,232.1551205552012,1453539
20210919,3439,0,0,0,3439,0,2312237,86.02325267042627,0.0,3439
20210920,1368155,0,0,0,1368155,1374434,2142783,4000.168996430026,181.57092278225608,1368155
20210922,1367648,0,0,0,1367648,1367648,2148127,3996.20720183526,174.4706279005151,1367648
20210929,1457550,0,0,0,1457550,1473783,2064158,3959.2655884646083,225.42404485768594,1457550
20210930,1642,0,0,0,1642,0,2220349,78.40918313565064,0.0,1642
20211001,1368991,0,0,0,1368991,1375161,2150731,4007.7175549182602,180.15548839821673,1368991
20211003,1704118,0,0,0,1704118,1738781,1821855,3992.8225605453595,6.0,1704118
20211004,1287408,0,0,0,1287408,1287408,2213492,4023.0759376377673,127.20062892926276,1287408
20211016,1356946,0,0,0,1356946,1356946,2158358,4042.548206267923,176.23847480048164,1356946
20211024,1440448,0,0,0,1440448,1458861,2064916,3963.026116492295,173.6663467687393,1440448
20211124,1341622,0,0,0,1341622,1396155,1429580,2540.6117373577567,0.0,1341622
