date,max,min
20230111,0.0,-999.0
20230302,1920.234360696631,6.0
20230429,1932.1117980075583,6.0
20230503,1917.945776084402,6.0
20230515,1917.7486800934057,6.0
20230527,1917.0446004201362,6.0
20230528,1915.381946244665,6.0
20230604,1916.133607032662,6.0
20230610,1914.263304772883,6.0
20230616,1909.1883092036783,6.0
20230617,1904.3833647666638,6.0
20230618,1907.5942964896913,6.0
20230622,1912.2782224352186,6.0
20230629,1896.9965735340693,6.0
20230701,1883.6942427050099,6.0
20230702,1886.3011424478332,6.0
20230703,1875.323972011236,6.0
20230704,1863.1328455051187,6.0
20230705,1833.3903021451815,6.0
20230706,1785.6427414239388,6.0
20230707,1780.2516676020837,6.0
20230710,1789.0869179556369,6.0
20230712,1822.6771518840083,6.0
20230717,1745.9278335601389,6.0
20230723,1660.1903505321309,6.0
20230724,1753.0887028328032,6.0
20230726,1591.1882352506254,6.0
20230727,1708.4413949562334,6.0
20230728,1733.8754280512771,6.0
20230801,1660.959963394663,6.0
20230802,1671.686573493967,6.0
20230807,1706.5755183993472,6.0
20230810,1705.531002356744,6.0
20230817,1606.263988265939,6.0
20230818,1607.5073872303044,6.0
20230819,1619.177569014591,6.0
20230821,1620.8442244706923,6.0
20230822,1630.9629057706984,6.0
20230823,1626.6308739231529,6.0
20230824,1625.811797226235,6.0
20230829,1617.1196616206234,6.0
20230901,1567.57392170194,6.0
20230903,1547.779053999633,6.0
20230905,1506.4780117877592,6.0
20230909,1495.144140208562,6.0
20230916,1532.2689059039212,6.0
20230918,1524.7084967297847,6.0
20230919,1504.6129070295788,6.0
20230921,1455.1700931506255,6.0
20230922,1404.8202732022341,6.0
20230923,1502.8772404957099,6.0
20230924,1507.4455214036757,6.0
20230928,1477.9986468194077,6.0
20231002,1168.999572283925,6.0
20231003,1457.8888846547943,6.0
20231005,1443.1216164966831,6.0
20231009,1413.213359687772,6.0
20231019,1104.016304227433,6.0
20231021,1500.9237155831738,6.0
20231110,1615.872519724251,6.0
20231111,1611.3658802394943,6.0
20231201,1577.6235292363003,6.0
