date,max,min
20230710,2940.153057240388,6.0
20230722,2972.738131756647,6.0
20230723,2977.705156660075,6.0
20230725,2636.5613969714414,6.0
20230729,2969.5151119332595,6.0
20230731,3086.2404313338907,6.0
20230801,2592.027777628936,6.0
20230814,2512.4529846347377,6.0
20230816,2522.2418599333414,6.0
20230817,2513.7637120461422,6.0
20230820,2514.8876714477724,6.0
20230824,2492.4566194820727,6.0
20230825,2125.219988612944,6.0
20230828,2046.0791773536037,6.0
20230829,2050.2536428451967,6.0
20230830,2104.42676280264,6.0
20230831,2036.8652385467233,6.0
20230903,2042.2311328544574,6.0
20230904,2021.3945681138061,6.0
20230906,2272.851952943702,6.0
20230907,1996.657206432792,6.0
20230909,1956.3772642310073,6.0
20230910,1931.3104359475717,6.0
20230912,1936.150820571579,6.0
20230914,1887.6366175723547,6.0
20230924,1736.9974093244928,6.0
20231005,1271.3772060250253,6.0
20231006,1285.6391406611733,6.0
20231007,1255.7213066600407,6.0
20231010,1236.1310610125447,6.0
20231028,1198.378905021279,6.0
