date,max,min
20230305,2286.6928084025626,6.0
20230327,2359.495708832716,6.0
20230413,2317.165509841712,6.0
20230429,2442.493807566357,6.0
20230507,2560.024999877931,6.0
20230510,2321.6588896735025,6.0
20230514,2531.1325528308466,6.0
20230527,2580.062789933609,6.0
20230530,2434.5882608769803,6.0
20230611,2152.528745452659,6.0
20230625,2538.113472640654,6.0
20230704,2554.6545754759095,6.0
20230705,2552.568118581755,6.0
20230712,2541.9402038600356,6.0
20230714,2590.34669494259,6.0
20230716,2544.7711095499335,6.0
20230720,2579.5813613840523,6.0
20230722,2585.443095486729,6.0
20230723,2581.290374986898,6.0
20230724,2343.4282579161663,6.0
20230725,2557.105394777462,6.0
20230729,2551.4889770484997,6.0
20230731,2430.066665752197,6.0
20230801,2432.2582099768933,6.0
20230808,2569.3454419365257,6.0
20230815,2518.034948129195,6.0
20230819,2553.5199235565015,6.0
20230821,2574.0,6.0
20230822,2334.77108085568,6.0
20230826,2525.173261382276,6.0
20230828,2326.406671242154,6.0
20230829,2332.217828591489,6.0
20230831,2309.7740149200745,6.0
20230905,2289.9336234921743,6.0
20230908,2268.34917946951,6.0
20230912,2259.452145985836,6.0
20230913,2262.007957545685,6.0
20230914,2264.7039541626627,6.0
20230918,2255.0423499349185,6.0
20230919,2251.7593121823656,6.0
20230924,2249.167846115536,6.0
20230925,2239.1176833744134,6.0
20230926,2128.3853034636372,6.0
20230927,2025.068887717156,6.0
20231001,2009.5701032807988,6.0
20231002,2005.490463702084,6.0
20231005,2044.8031690116286,6.0
20231008,2081.584973043378,6.0
20231009,1982.952344359289,6.0
20231011,1931.3104359475717,6.0
20231020,1873.3072358799022,6.0
20231021,1795.6948515825288,6.0
20231025,1869.6138638767097,6.0
20231028,1867.4271070111413,6.0
20231102,1865.8842407823695,6.0
20231103,1855.6691515461475,6.0
20231111,1856.74553991655,6.0
20231114,1868.9301752607025,6.0
20231115,1720.4104161507507,6.0
20231120,1855.7855479553664,6.0
20231128,2210.4931576460485,6.0
20231206,1927.6721712988442,6.0
