date,max,min
20230111,1347.0634728920534,6.0
20230121,2113.439850102198,6.0
20230326,2194.138555333277,6.0
20230429,2452.305038122297,6.0
20230510,1914.6769962581157,6.0
20230519,2444.7699278255204,6.0
20230522,2445.542884514602,6.0
20230525,2444.6521224910507,6.0
20230527,2449.6244610143817,6.0
20230528,2461.5872927848814,6.0
20230529,2439.7065397297274,6.0
20230601,2445.9771053711847,6.0
20230606,2443.591618908528,6.0
20230609,2441.823089414956,6.0
20230611,2449.6244610143817,6.0
20230620,2453.9119788615076,6.0
20230623,117.88129622633099,6.0
20230624,2439.3523730695406,6.0
20230627,2433.382830546809,6.0
20230628,2301.7645405210324,6.0
20230629,1697.9151922283986,6.0
20230630,2434.5882608769803,6.0
20230701,2418.56569065221,6.0
20230702,2427.0278119543664,6.0
20230708,1949.1228796563853,6.0
20230710,1825.5979842232516,6.0
20230711,1820.097799570122,6.0
20230712,2179.9495407004265,6.0
20230713,2418.6252293400066,6.0
20230714,2342.076002182679,6.0
20230717,2404.682931282209,6.0
20230720,2391.344391759581,6.0
20230721,2288.258726630361,6.0
20230723,1905.7439492229798,6.0
20230724,1894.7559209565752,6.0
20230725,2191.8485349129396,6.0
20230726,2052.5613267330164,6.0
20230728,1655.1302063583998,6.0
20230729,1893.1497563584346,6.0
20230805,1870.3454226425663,6.0
20230812,1757.0987450908956,6.0
20230814,1756.4429965131235,6.0
20230816,1714.78278507804,6.0
20230817,1496.900798316308,6.0
20230819,1675.547671658434,6.0
20230820,1500.1079961122798,6.0
20230824,1504.7086096650075,6.0
20230825,1835.6470248934024,6.0
20230826,2437.285375166396,6.0
20230827,2440.5917315274182,6.0
20230901,1374.327471893071,6.0
20230903,1311.9573163788523,6.0
20230904,1298.71936922493,6.0
20230906,1202.3526936801863,6.0
20230908,1197.8981592773234,6.0
20230909,1213.083673948339,6.0
20230910,1170.3845521878695,6.0
20230912,1209.2046973114188,6.0
20230913,1196.5450263153493,6.0
20230914,1198.3488640625483,6.0
20230915,1185.4062594739407,6.0
20230925,1166.193808935719,6.0
20230926,1131.6324491635964,6.0
20230927,1101.6006535945774,6.0
20231008,1090.5649911857615,6.0
20231013,1060.931666036979,6.0
20231028,1058.7917642293974,6.0
