date,max,min
20230121,2044.310152594268,6.0
20230528,2088.0086206718593,6.0
20230530,2088.3103217673374,6.0
20230618,1954.9782607486968,6.0
20230628,2070.034782316471,6.0
20230701,2078.3397219896465,6.0
20230702,1618.6772377469206,6.0
20230703,2076.034681791227,6.0
20230704,1632.6395805565903,6.0
20230705,2077.2481796838815,6.0
20230708,1500.7318214791076,6.0
20230710,1491.9142066486263,6.0
20230711,1488.7014475710032,6.0
20230712,1495.637656653509,6.0
20230714,1453.387766564725,6.0
20230720,1488.4354201644087,6.0
20230721,1492.2761138609703,6.0
20230726,1493.3251487870953,6.0
20230728,1498.1388453678119,6.0
20230729,1465.4869497883628,6.0
20230730,1487.2861190772944,6.0
20230731,1490.4173912028805,6.0
20230802,1489.027870793559,6.0
20230805,1520.9497033104021,6.0
20230806,1500.7318214791076,6.0
20230817,1421.3416197381966,6.0
20230819,1426.8398648762236,6.0
20230822,1424.8452547557577,6.0
20230828,1413.0732465091821,6.0
20230901,1417.5246029610914,6.0
20230907,1338.5380084256105,6.0
20230908,1353.409029081748,6.0
20230909,1325.7149014776896,6.0
20230913,1190.9659944767525,6.0
20230915,1279.4076754498544,6.0
20230919,1282.2745415861614,6.0
20230922,1260.3570922560002,6.0
20230923,1254.7031521439644,6.0
20230926,1252.1469562315758,6.0
20230929,1248.7065307749456,6.0
20231001,1226.4093933104068,6.0
20231005,1227.4216879296212,6.0
20231007,1185.512547381933,6.0
20231013,1179.7287823902577,6.0
20231018,1203.8338755825075,6.0
20231021,1214.5665893642883,6.0
20231024,1200.7347750440144,6.0
20231029,1188.075755160419,6.0
20231201,1227.7149506298276,6.0
20231207,1471.480886726022,6.0
20231218,1629.527538889724,6.0
