date,max,min
20230701,1754.6281657376871,6.0
20230702,1728.843544106869,6.0
20230705,1912.2782224352186,6.0
20230706,1896.0,6.0
20230709,1887.0930024776203,6.0
20230710,1866.154334453611,6.0
20230711,1796.0456564352703,6.0
20230712,1883.0825791770258,6.0
20230714,1452.4586052621257,6.0
20230720,1778.8052169925745,6.0
20230721,1781.8282745539761,6.0
20230722,1767.5576369668966,6.0
20230723,1777.0638705460196,6.0
20230724,1628.6988671943013,6.0
20230725,1770.0,6.0
20230726,1752.2568304903252,6.0
20230728,1758.0,6.0
20230730,1694.476910435784,6.0
20230731,1728.510341305484,6.0
20230802,1733.8754280512771,6.0
20230804,1734.0934230888483,6.0
20230806,1746.0,6.0
20230815,1719.3533668213759,6.0
20230821,1647.1611942976315,6.0
20230823,1638.0988981132975,6.0
20230902,1645.8493248168252,6.0
20230904,1608.7722026439915,6.0
20230906,1110.2594291425767,6.0
20230908,1537.979193617391,6.0
20230922,1411.1229570806365,6.0
20230925,1461.6004926107544,6.0
20230929,1367.065470268341,6.0
20231001,1414.7409656894793,6.0
20231004,1622.4980739587954,6.0
20231005,1327.7228626486778,6.0
20231008,1368.4736022298712,6.0
20231015,1373.3710350811975,6.0
20231018,1286.40895519271,6.0
20231020,1185.709913933421,6.0
20231021,1128.0159573339379,6.0
