date,max,min
20230708,2039.4528678054808,6.0
20230710,2454.821378430618,6.0
20230711,2331.870493831079,6.0
20230713,2361.668901433899,6.0
20230717,2427.984349208207,6.0
20230720,2419.242856763248,6.0
20230721,2417.218235906721,6.0
20230723,2284.7319317591723,6.0
20230725,2387.615546942179,6.0
20230726,2374.4843650780267,6.0
20230728,2293.538750490168,6.0
20230729,2242.892774967185,6.0
20230805,2281.7835129564764,6.0
20230811,2286.433029852394,6.0
20230812,2279.218287044924,6.0
20230817,2283.4158622554937,6.0
20230819,2286.6928084025626,6.0
20230820,2281.7440697852157,6.0
20230824,2274.055408295937,6.0
20230825,2263.2092258560633,6.0
20230827,2444.563764764585,6.0
20230829,2252.6784058094045,6.0
20230902,1993.6800144456483,6.0
20230903,2249.8399943107065,6.0
20230904,2135.7050358137008,6.0
20230906,2098.8768425041044,6.0
20230909,2050.780339285512,6.0
20230913,1904.8370009006019,6.0
20230914,1911.0729970359582,6.0
20230919,1719.2382033912577,6.0
20230925,1387.920747016918,6.0
20230926,1439.0496864250379,6.0
20230927,1344.9773232289085,6.0
20231008,1282.162236224418,6.0
20231025,1305.0379304832484,6.0
20231027,1291.394595001853,6.0
20231028,1303.4922324279496,6.0
