date,max,min
20230702,1569.7770542341354,6.0
20230705,1558.198960338506,6.0
20230706,1480.5539503847876,6.0
20230707,1470.3060905811417,6.0
20230709,1530.0,6.0
20230711,1536.855230657722,6.0
20230713,1536.855230657722,6.0
20230714,1537.8036285560001,6.0
20230720,1517.003625572464,6.0
20230722,1520.8550226763891,6.0
20230723,1518.841663900487,6.0
20230725,1527.774852522452,6.0
20230727,1528.5051521012285,6.0
20230728,1507.230572938328,6.0
20230730,1230.3657992645926,6.0
20230731,1521.233709855261,6.0
20230801,1516.2915286975656,6.0
20230802,1514.4385098114747,6.0
20230804,1403.5896836326492,6.0
20230806,1509.6171700136429,6.0
20230807,1514.4860514379127,6.0
20230810,1515.7334858081088,6.0
20230812,1498.8955934287085,6.0
20230815,1502.7574654614095,6.0
20230818,1511.237903177392,6.0
20230821,1434.489456217786,6.0
20230830,1513.808442307018,6.0
20230901,1513.2613786124325,6.0
20230902,1469.6081110282428,6.0
20230903,1489.2696196458182,6.0
20230904,1463.0160627963044,6.0
20230906,1441.1120705899316,6.0
20230908,1470.0489787758775,6.0
20230909,1321.9621779763595,6.0
20230924,1308.288958907779,6.0
20230925,1293.511499755607,6.0
20231004,1264.733964120518,6.0
20231015,1246.8023099112386,6.0
20231018,1248.879497789919,6.0
20231020,1255.4775983664542,6.0
