date,max,min
20230704,2123.0167215544957,6.0
20230711,2263.4319075245007,6.0
20230712,2269.848453091087,6.0
20230713,2262.962659877533,6.0
20230716,2269.3726005220033,6.0
20230719,2270.458984434645,6.0
20230720,2265.5860169060015,6.0
20230721,2266.7695074709295,6.0
20230723,2261.5224960189985,6.0
20230724,2266.801270513143,6.0
20230725,2270.133916754692,6.0
20230726,2265.5065658699823,6.0
20230728,2271.6003169571886,6.0
20230729,2116.061435781107,6.0
20230801,2269.848453091087,6.0
20230804,2266.801270513143,6.0
20230805,2269.848453091087,6.0
20230808,2103.6995983267193,6.0
20230812,2268.126980572296,6.0
20230813,2278.3019992968448,6.0
20230814,2115.7126458949947,6.0
20230816,2113.7123739998306,6.0
20230817,2274.11873040965,6.0
20230818,2108.596689744153,6.0
20230819,2129.332289709617,6.0
20230820,2269.2536217884503,6.0
20230822,2264.93443613717,6.0
20230825,2116.0954609846885,6.0
20230827,2114.793606950806,6.0
20230830,2268.6427660608006,6.0
20230831,1606.8466012659703,6.0
20230902,2103.6995983267193,6.0
20230903,2119.155492171351,6.0
20230904,2268.6745028760733,6.0
20230905,2265.713132768577,6.0
20230909,2120.879063030233,6.0
20230910,2098.9025703924417,6.0
20230913,2086.016299073428,6.0
20230915,2092.899424243793,6.0
20230919,2083.8925116233804,6.0
20230926,2095.366316422978,6.0
20230927,2097.092272648011,6.0
20230929,2045.111243918042,6.0
20230930,1575.8426317370654,6.0
20231005,1566.0459763365825,6.0
20231006,1556.881498380657,6.0
20231008,1505.3664005815995,6.0
20231010,1476.46334190863,6.0
20231011,1459.7273718061192,6.0
20231017,1411.5693394233242,6.0
20231021,1433.2968987617326,6.0
20231027,1457.2220146566547,6.0
20231028,1443.8074663887842,6.0
