date,base
30,0.0
31,0.29679622276644047
32,-0.035213872700783355
33,0.11023570867160615
34,0.3363458386450553
35,0.17734237963557486
39,0.5619879479818639
40,0.43519179710339273
41,0.28268446453047424
42,0.5068289078300374
43,0.5697271372293411
48,0.7349870961094229
50,0.9132056103767887
52,0.8220389345244357
53,0.6601749333838143
54,0.8091927040899467
56,1.3424966032934265
57,0.7868849684651433
58,0.7683850487400434
59,1.2574553815334166
60,1.3247604932473234
61,0.9543165430992335
64,0.9668370311706234
65,1.1864959646886284
66,1.6195947735049678
72,1.2366715211015151
75,0.7822197387591174
76,1.570153073450335
81,2.366027782304057
83,1.8495164635432122
95,2.5729116245243393
96,2.9198908920338535
98,2.9695834511497274
100,2.4340030995696296
101,3.3993536971982863
103,0.6776564402035863
114,2.751837785994306
115,2.594560387092754
117,2.732446754977042
118,2.6716340255346065
119,2.9745519582282967
120,2.842832230252375
123,2.8995675639084038
125,2.9314041996951943
126,3.0855028024326874
128,3.282842767830612
129,3.126467712716501
130,3.296748596986456
132,3.5315227249853827
139,2.8721715079220544
141,3.1787662107371872
142,3.4567330272503334
148,3.1786576299494858
149,3.532290278829471
150,3.0272548260790373
