date,base
31,0.0
51,0.08987764060399073
52,-0.09277487774731608
53,0.041798974708561865
54,0.05265658186704414
56,0.15215065886301993
62,-0.5225750854693745
64,0.08327798754813909
66,0.055701493719131356
74,-0.0674662455171493
80,0.14274870240518833
82,-0.03480552242934376
84,0.17640447174488916
85,0.2028417606777344
87,-0.10092511524516645
88,0.15986138829907937
91,0.43149143474382967
92,0.3439836216090155
93,0.27192539586227493
101,0.2320426763031218
106,0.2732650164346131
115,0.5520361898673425
118,0.9147955958760638
125,4.316475480073778
126,2.5564812689223606
129,3.208609266749714
130,4.287819554445011
146,3.606511737379237
149,4.417555302156695
