date,base
31,0.0
40,-0.018113396843514984
45,0.432395099604598
48,-0.0035696078066091985
49,0.06928383380240444
50,0.10734632193173166
51,0.11291156587462137
52,0.09382761375171356
53,0.15060328007698942
54,0.06557972957131053
55,0.04814971996572126
58,0.081962848089014
61,0.011726634199714425
64,0.10956733045498801
65,0.0619883115337041
68,0.098898492458658
71,0.012380941129642054
72,0.026757518395566393
74,-0.029094848150811536
77,0.1247545213063237
80,0.11304242726060743
82,0.01784440399454379
85,0.2321444637000507
87,0.1712393936392278
90,0.5388181217574317
93,0.6729365022387297
94,0.3588764459501572
95,0.6086363062192781
96,0.35865834364018134
100,0.7927473711855946
101,1.0753025487981205
104,0.7746739597655763
106,1.0949281216574684
114,1.7014052150079833
115,1.7682208576691583
117,1.1951461330914812
118,1.9833460711140747
128,2.574672323998251
129,3.0881106069514663
132,3.8629008879490287
138,3.8258234952530943
142,4.911329597119596
148,5.598609961277753
149,3.7868667876528646
