date,base
30,0.0
31,1.247605754481004
32,1.3387874683876682
33,1.439255952792248
34,1.3196196846367503
35,1.9604344881911508
36,1.9742817263443015
39,2.0064952115089607
41,1.8696535426541896
46,2.55937590691118
52,3.5603156396401374
53,3.142963751191939
55,2.686419480106686
56,3.3086469230662914
57,2.6558919860145647
61,4.582454637166428
62,4.710133911913875
67,3.796824256160086
70,3.63538370116499
77,6.140752615359101
78,7.617031273752435
79,5.360539517143213
81,7.745221873661226
82,6.81335249651055
83,6.659346885753372
84,6.1748179267837635
89,5.55676400270864
92,6.207777670292007
94,6.683254791945938
96,8.276613092688049
100,7.762758944735424
107,7.485952377662002
109,7.676676662843242
110,7.406945730434902
112,8.231505921698151
113,8.277276433437901
114,7.825486104393249
115,7.985558519091775
119,8.81274443415652
123,8.596108400934206
124,8.399344951009521
126,9.418498915161482
130,10.624894625557964
140,9.236218404941887
142,8.730504000773895
