date,base
30,0.0
31,0.6616662461914622
33,1.8166275301286632
34,0.9931106755419279
38,1.70938694715597
39,4.981000989733936
40,5.23103495119253
41,4.815113819402665
42,3.0392982592326625
43,6.562906324593914
45,3.5974887927186643
48,6.329154456713695
49,4.4651361369326
52,3.833976983834347
53,4.951813541889031
54,5.425643812222244
55,4.946554367443575
56,6.402414174542489
57,6.319858720332238
59,5.444720448679384
61,9.740592675968873
65,6.255817112693823
66,6.826718934968657
75,3.5426458887228556
78,10.420908614566553
82,13.226940169613226
83,11.94271187098527
85,16.02961439189582
88,11.473422732830056
92,11.717304818645811
99,14.638456015059479
100,14.506103359273418
101,6.559432552543228
106,12.915523297560597
113,15.45256069397815
114,14.668613790292845
115,15.469133885773061
116,15.597352946884278
117,16.635894350753944
122,16.38225077141027
123,16.38888781074735
129,22.15127403986105
132,18.06045139630111
140,19.128510159327753
146,17.182363329387336
