date,base
30,0.0
31,0.7007451534448554
33,0.601256810671976
34,0.400754623703687
35,0.6770053813075183
38,0.5669330286650496
39,0.7707967187679401
40,0.4930339597541673
42,0.6482773545186324
46,0.7829467300978257
48,1.0506654797455592
49,1.1696275906777283
50,1.5962887385392488
51,1.640028779326836
52,1.5646987090815463
54,1.4152468197176598
55,1.107770532996022
56,1.7384101210674379
59,1.937393556619492
60,1.9308730505391196
61,1.9742013409427503
62,2.3979464860850976
65,2.41907400578651
66,2.5280596074155834
70,1.5647999591759616
71,2.314232908022187
75,2.699536767318035
78,1.8194709466566579
80,2.9711300205787436
82,3.660447413367213
83,3.2550622853455797
84,3.296919074377038
86,9.266935141417019
88,3.453525970412966
89,3.5287615405701365
90,4.036422763964226
92,2.8808756864165765
93,3.4556387223831075
94,4.1235653452246845
97,6.1822092649101394
98,9.006641398693102
99,4.584982275495972
101,4.848063770819466
102,6.775487568142158
106,5.345525734702748
107,5.017947929236443
112,11.912350358266707
113,5.445938828337957
114,6.092906681635481
115,5.556956181861639
116,5.849717454861525
117,5.6913960572268225
118,6.238639317531164
129,6.214082794632206
132,9.38594450239325
135,14.129092925379151
137,8.979236373137919
138,8.598144517769764
142,6.724822020896535
146,6.540114848657097
149,7.102187872790192
150,6.501349562508467
