,id,date,percent
168,DS_03,20230805.0,299685
169,DS_03,20230806.0,363227
170,DS_03,20230807.0,303957
171,DS_03,20230810.0,286764
172,DS_03,20230815.0,289686
173,DS_03,20230816.0,379688
174,DS_03,20230820.0,543399
175,DS_03,20230821.0,296284
176,DS_03,20230823.0,406083
177,DS_03,20230824.0,385660
178,DS_03,20230827.0,303378
179,DS_03,20230828.0,397258
180,DS_03,20230829.0,418620
181,DS_03,20230830.0,477008
182,DS_03,20230901.0,420455
183,DS_03,20230904.0,528197
184,DS_03,20230906.0,667388
185,DS_03,20230908.0,606040
186,DS_03,20230909.0,638221
187,DS_03,20230910.0,561010
188,DS_03,20230911.0,651469
189,DS_03,20230915.0,601226
190,DS_03,20230916.0,592643
191,DS_03,20230918.0,572667
192,DS_03,20230919.0,616677
193,DS_03,20230921.0,595547
194,DS_03,20230922.0,615024
195,DS_03,20230923.0,665934
196,DS_03,20230925.0,679545
197,DS_03,20230926.0,685230
198,DS_03,20230927.0,687072
199,DS_03,20230928.0,671741
200,DS_03,20231001.0,764440
201,DS_03,20231002.0,696468
202,DS_03,20231003.0,756462
203,DS_03,20231004.0,689622
204,DS_03,20231006.0,768538
205,DS_03,20231007.0,771672
206,DS_03,20231008.0,675340
207,DS_03,20231009.0,705917
208,DS_03,20231011.0,691899
209,DS_03,20231013.0,738642
210,DS_03,20231017.0,744291
211,DS_03,20231018.0,643023
212,DS_03,20231020.0,671406
213,DS_03,20231021.0,696091
214,DS_03,20231025.0,681413
215,DS_04,20230701.0,351630
216,DS_04,20230702.0,345589
217,DS_04,20230703.0,353857
218,DS_04,20230704.0,358582
219,DS_04,20230705.0,365856
220,DS_04,20230706.0,369308
221,DS_04,20230707.0,360422
222,DS_04,20230708.0,354522
223,DS_04,20230709.0,384492
224,DS_04,20230711.0,375915
225,DS_04,20230717.0,401876
226,DS_04,20230719.0,469877
227,DS_04,20230720.0,413738
228,DS_04,20230721.0,417768
229,DS_04,20230725.0,456010
230,DS_04,20230726.0,442883
231,DS_04,20230727.0,422455
232,DS_04,20230728.0,420519
233,DS_04,20230729.0,451721
234,DS_04,20230731.0,479934
235,DS_04,20230801.0,453790
236,DS_04,20230804.0,473742
237,DS_04,20230805.0,465561
238,DS_04,20230806.0,471795
239,DS_04,20230807.0,463488
240,DS_04,20230811.0,500232
241,DS_04,20230815.0,584118
242,DS_04,20230816.0,519389
243,DS_04,20230822.0,548266
244,DS_04,20230823.0,548066
245,DS_04,20230824.0,549470
246,DS_04,20230829.0,577955
247,DS_04,20230830.0,576918
248,DS_04,20230902.0,645968
249,DS_04,20230905.0,724830
250,DS_04,20230906.0,724739
251,DS_04,20230908.0,700175
252,DS_04,20230909.0,755912
253,DS_04,20230911.0,607810
254,DS_04,20230916.0,712273
255,DS_04,20230919.0,706276
256,DS_04,20230921.0,720928
257,DS_04,20230922.0,756754
258,DS_04,20230923.0,732990
259,DS_04,20230926.0,798583
260,DS_04,20230928.0,790716
261,DS_04,20231001.0,823682
262,DS_04,20231002.0,852379
263,DS_04,20231004.0,862619
264,DS_04,20231007.0,810555
265,DS_04,20231009.0,818897
266,DS_04,20231018.0,824789
267,DS_04,20231021.0,773451
268,DS_04,20231028.0,825439
269,DS_04,20231029.0,894851
270,DS_05,20230701.0,2627220
271,DS_05,20230702.0,2590659
272,DS_05,20230705.0,2617942
273,DS_05,20230706.0,2684324
274,DS_05,20230709.0,2775972
275,DS_05,20230710.0,2755447
276,DS_05,20230711.0,2732525
277,DS_05,20230712.0,2753829
278,DS_05,20230714.0,2762441
279,DS_05,20230720.0,2779387
280,DS_05,20230721.0,2808513
281,DS_05,20230722.0,2882786
282,DS_05,20230723.0,2875231
283,DS_05,20230724.0,2884185
284,DS_05,20230725.0,2820400
285,DS_05,20230726.0,2879914
286,DS_05,20230728.0,2888243
287,DS_05,20230730.0,3263286
288,DS_05,20230731.0,3009199
289,DS_05,20230802.0,3024301
290,DS_05,20230804.0,2997388
291,DS_05,20230806.0,2988744
292,DS_05,20230815.0,3092637
293,DS_05,20230821.0,3412986
294,DS_05,20230823.0,3225084
295,DS_05,20230902.0,3419625
296,DS_05,20230904.0,3432914
297,DS_05,20230906.0,4180601
298,DS_05,20230908.0,3643274
299,DS_05,20230922.0,3611052
300,DS_05,20230925.0,3522132
301,DS_05,20230929.0,3643396
302,DS_05,20231001.0,3571482
303,DS_05,20231004.0,3513254
304,DS_05,20231005.0,3651534
305,DS_05,20231008.0,3685861
306,DS_05,20231015.0,3719481
307,DS_05,20231018.0,3649800
