id,date,precip,runoff
20230809,09/08/2023,4.938833839105428E-4,1.1175870895385742E-6
20230810,10/08/2023,1.2598931789398193E-4,2.8312206268310547E-7
20230811,11/08/2023,4.791259765610789E-4,1.043081283569336E-6
20230812,12/08/2023,5.926877260158392E-4,1.8477439880371094E-6
20230813,13/08/2023,0.012044608592930217,4.088878631591797E-5
20230814,14/08/2023,1.0401010513305664E-5,2.9802322387695312E-8
20230815,15/08/2023,0,0
20230816,16/08/2023,0,0
20230817,17/08/2023,4.556775093078613E-5,1.4901161193847656E-7
20230818,18/08/2023,8.36402177810669E-5,2.2351741790771484E-7
20230819,19/08/2023,4.583597183227539E-5,1.043081283569336E-7
20230820,20/08/2023,3.713369324032101E-6,0
20230821,21/08/2023,8.70227722771233E-7,0
20230822,22/08/2023,8.52346317969932E-7,0
20230823,23/08/2023,1.7224120938408305E-6,0
20230824,24/08/2023,4.753031649897821E-4,9.834766387939453E-7
20230825,25/08/2023,1.0085105895996094E-4,2.086162567138672E-7
20230826,26/08/2023,2.4914443491752536E-4,4.917383193969727E-7
20230827,27/08/2023,8.974671363830566E-4,1.996755599975586E-6
20230828,28/08/2023,3.1307339668273926E-5,7.450580596923828E-8
20230829,29/08/2023,2.1226704109267303E-4,4.172325134277344E-7
20230830,30/08/2023,1.9852581056056806E-4,3.2782554626464844E-7
20230831,31/08/2023,0.001003268,1.9222497940063477E-6
20230901,01/09/2023,2.938766616580324E-4,7.003545761108398E-7
20230902,02/09/2023,4.9501657485961914E-5,8.940696716308594E-8
20230903,03/09/2023,3.713369267188682E-6,0
20230904,04/09/2023,2.4259090309897147E-6,0
20230905,05/09/2023,0,0
20230906,06/09/2023,0,0
20230907,07/09/2023,1.3667344944678916E-5,2.9802322387695312E-8
20230908,08/09/2023,0.00114283,2.0116567611694336E-6
20230909,09/09/2023,6.837934255372602E-4,1.341104507446289E-6
20230910,10/09/2023,0.002464515,4.976987838745117E-6
20230911,11/09/2023,2.5663077821036495E-4,5.662441253662109E-7
20230912,12/09/2023,5.909204483032227E-4,1.1175870895385742E-6
20230913,13/09/2023,1.1312961476050987E-5,1.4901161193847656E-8
20230914,14/09/2023,3.216207026639495E-4,5.885958671569824E-7
20230915,15/09/2023,5.378663539872264E-4,9.5367431640625E-7
20230916,16/09/2023,3.21805477142334E-4,5.513429641723633E-7
20230917,17/09/2023,6.517350672652356E-4,1.2069940567016602E-6
20230918,18/09/2023,0.001916498,3.6507844924926758E-6
20230919,19/09/2023,9.333491324881038E-5,1.6391277313232422E-7
20230920,20/09/2023,0.013766989,4.0784478187561035E-5
20230921,21/09/2023,8.881390084525265E-5,1.9371509552001953E-7
20230922,22/09/2023,6.253659724961835E-4,1.2665987014770508E-6
20230923,23/09/2023,3.947019577026367E-4,8.046627044677734E-7
20230924,24/09/2023,9.132921695709229E-5,1.9371509552001953E-7
20230925,25/09/2023,4.273641536656214E-5,7.450580596923828E-8
20230926,26/09/2023,5.4323673243317216E-5,1.1920928955078125E-7
20230927,27/09/2023,8.828938007354736E-5,2.384185791015625E-7
20230928,28/09/2023,0.001140654,2.0712614059448242E-6
20230929,29/09/2023,0.004138502,1.0848045349121094E-5
20230930,30/09/2023,7.569091647496862E-4,1.6838312149047852E-6
20231001,01/10/2023,7.363557815054378E-5,1.6391277313232422E-7
20231002,02/10/2023,9.289383888244629E-5,1.7881393432617188E-7
20231003,03/10/2023,1.8692001617637288E-5,4.470348358154297E-8
20231004,04/10/2023,1.601576805114746E-4,3.129243850708008E-7
20231005,05/10/2023,6.489157675559909E-5,1.6391277313232422E-7
20231006,06/10/2023,0.001486331,2.771615982055664E-6
20231007,07/10/2023,6.201863288879395E-5,1.043081283569336E-7
